direction_id,direction,day_type,time_band,status,scheduled_trips,pct
0,Fruitvale-bound,Saturday,AM peak,No route observation,5,7.936507936507937
0,Fruitvale-bound,Saturday,AM peak,Observed at screenline,58,92.06349206349206
0,Fruitvale-bound,Saturday,Early AM,Observed at screenline,14,100.0
0,Fruitvale-bound,Saturday,Evening,No route observation,48,48.97959183673469
0,Fruitvale-bound,Saturday,Evening,Observed at screenline,49,50.0
0,Fruitvale-bound,Saturday,Evening,Observed elsewhere only,1,1.0204081632653061
0,Fruitvale-bound,Saturday,Late night,No route observation,4,57.142857142857146
0,Fruitvale-bound,Saturday,Late night,Observed at screenline,3,42.857142857142854
0,Fruitvale-bound,Saturday,Midday,No route observation,22,13.095238095238095
0,Fruitvale-bound,Saturday,Midday,Observed at screenline,143,85.11904761904762
0,Fruitvale-bound,Saturday,Midday,Observed elsewhere only,3,1.7857142857142858
0,Fruitvale-bound,Saturday,PM peak,No route observation,31,27.678571428571427
0,Fruitvale-bound,Saturday,PM peak,Observed at screenline,79,70.53571428571429
0,Fruitvale-bound,Saturday,PM peak,Observed elsewhere only,2,1.7857142857142858
0,Fruitvale-bound,Sunday / holiday,AM peak,No route observation,9,11.11111111111111
0,Fruitvale-bound,Sunday / holiday,AM peak,Observed at screenline,71,87.65432098765432
0,Fruitvale-bound,Sunday / holiday,AM peak,Observed elsewhere only,1,1.2345679012345678
0,Fruitvale-bound,Sunday / holiday,Early AM,Observed at screenline,17,94.44444444444444
0,Fruitvale-bound,Sunday / holiday,Early AM,Observed elsewhere only,1,5.555555555555555
0,Fruitvale-bound,Sunday / holiday,Evening,No route observation,46,36.507936507936506
0,Fruitvale-bound,Sunday / holiday,Evening,Observed at screenline,80,63.492063492063494
0,Fruitvale-bound,Sunday / holiday,Late night,No route observation,5,55.55555555555556
0,Fruitvale-bound,Sunday / holiday,Late night,Observed at screenline,4,44.44444444444444
0,Fruitvale-bound,Sunday / holiday,Midday,No route observation,19,8.796296296296296
0,Fruitvale-bound,Sunday / holiday,Midday,Observed at screenline,195,90.27777777777777
0,Fruitvale-bound,Sunday / holiday,Midday,Observed elsewhere only,2,0.9259259259259259
0,Fruitvale-bound,Sunday / holiday,PM peak,No route observation,30,20.833333333333332
0,Fruitvale-bound,Sunday / holiday,PM peak,Observed at screenline,113,78.47222222222223
0,Fruitvale-bound,Sunday / holiday,PM peak,Observed elsewhere only,1,0.6944444444444444
0,Fruitvale-bound,Weekday,AM peak,No route observation,48,8.450704225352112
0,Fruitvale-bound,Weekday,AM peak,Observed at screenline,517,91.02112676056338
