feed,direction_id,direction,target_label,time_band,runtime_n,median_runtime_s,p90_runtime_s,scheduled_trips,observed_at_screenline,screenline_observation_pct
S1000251,0,Fruitvale-bound,17th → 12th,AM peak,113,125.112326,207.9187954,130,110,84.61538461538461
S1000251,0,Fruitvale-bound,17th → 12th,Early AM,35,92.187874,124.11395480000002,40,38,95.0
S1000251,0,Fruitvale-bound,17th → 12th,Evening,159,113.779269,171.1122784,180,159,88.33333333333333
S1000251,0,Fruitvale-bound,17th → 12th,Late night,9,115.22263,198.86644760000001,10,8,80.0
S1000251,0,Fruitvale-bound,17th → 12th,Midday,276,155.35533700000002,232.0177885,300,280,93.33333333333333
S1000251,0,Fruitvale-bound,17th → 12th,PM peak,163,161.004681,228.31866979999998,200,163,81.5
S1000251,0,Fruitvale-bound,Grand → 19th,AM peak,111,125.714789,196.160739,130,110,84.61538461538461
S1000251,0,Fruitvale-bound,Grand → 19th,Early AM,36,95.1488765,160.662102,40,38,95.0
S1000251,0,Fruitvale-bound,Grand → 19th,Evening,159,124.777153,188.61533500000002,180,159,88.33333333333333
S1000251,0,Fruitvale-bound,Grand → 19th,Late night,9,96.916839,159.7808654,10,8,80.0
S1000251,0,Fruitvale-bound,Grand → 19th,Midday,279,138.285622,203.2017726,300,280,93.33333333333333
S1000251,0,Fruitvale-bound,Grand → 19th,PM peak,161,151.721286,233.020843,200,163,81.5
S1000251,1,Rockridge-bound,11th → 15th,AM peak,112,124.62523350000001,182.80831550000002,120,106,88.33333333333333
S1000251,1,Rockridge-bound,11th → 15th,Early AM,26,84.165157,97.14449300000001,30,26,86.66666666666667
S1000251,1,Rockridge-bound,11th → 15th,Evening,158,91.5472115,130.4365395,190,159,83.6842105263158
S1000251,1,Rockridge-bound,11th → 15th,Late night,17,84.679235,121.6122008,20,15,75.0
S1000251,1,Rockridge-bound,11th → 15th,Midday,271,141.259318,193.810537,310,281,90.64516129032258
S1000251,1,Rockridge-bound,11th → 15th,PM peak,173,128.889346,180.8779984,200,170,85.0
S1000251,1,Rockridge-bound,20th → Grand,AM peak,107,75.869103,127.7574584,120,106,88.33333333333333
S1000251,1,Rockridge-bound,20th → Grand,Early AM,24,52.8016265,76.0872775,30,26,86.66666666666667
S1000251,1,Rockridge-bound,20th → Grand,Evening,157,83.543119,141.05688300000003,190,159,83.6842105263158
S1000251,1,Rockridge-bound,20th → Grand,Late night,17,57.506105,94.70539600000001,20,15,75.0
S1000251,1,Rockridge-bound,20th → Grand,Midday,273,102.637799,157.0334798,310,281,90.64516129032258
S1000251,1,Rockridge-bound,20th → Grand,PM peak,178,108.897152,168.92298040000003,200,170,85.0
S1000252,0,Fruitvale-bound,17th → 12th,AM peak,392,128.0437005,205.8547036,438,407,92.92237442922375
S1000252,0,Fruitvale-bound,17th → 12th,Early AM,125,84.034582,128.01126580000005,134,127,94.77611940298507
S1000252,0,Fruitvale-bound,17th → 12th,Evening,493,112.648901,166.7099434,608,486,79.9342105263158
S1000252,0,Fruitvale-bound,17th → 12th,Late night,24,105.96409650000001,202.83041359999999,34,23,67.6470588235294
S1000252,0,Fruitvale-bound,17th → 12th,Midday,933,154.502385,227.64359740000006,1014,931,91.8145956607495
S1000252,0,Fruitvale-bound,17th → 12th,PM peak,565,168.605323,256.9774814,676,562,83.13609467455622
S1000252,0,Fruitvale-bound,Grand → 19th,AM peak,403,117.809871,177.221725,438,407,92.92237442922375
S1000252,0,Fruitvale-bound,Grand → 19th,Early AM,127,90.03131,150.56504180000002,134,127,94.77611940298507
S1000252,0,Fruitvale-bound,Grand → 19th,Evening,493,117.159824,183.62277440000003,608,486,79.9342105263158
S1000252,0,Fruitvale-bound,Grand → 19th,Late night,24,83.5559275,119.7607719,34,23,67.6470588235294
S1000252,0,Fruitvale-bound,Grand → 19th,Midday,928,123.40996849999999,189.9315912,1014,931,91.8145956607495
S1000252,0,Fruitvale-bound,Grand → 19th,PM peak,559,134.073954,203.945527,676,562,83.13609467455622
S1000252,1,Rockridge-bound,11th → 15th,AM peak,398,122.7386405,182.1680804,406,376,92.61083743842364
S1000252,1,Rockridge-bound,11th → 15th,Early AM,93,77.901438,107.88363220000001,99,93,93.93939393939394
S1000252,1,Rockridge-bound,11th → 15th,Evening,496,88.619549,121.163993,641,503,78.47113884555382
S1000252,1,Rockridge-bound,11th → 15th,Late night,53,85.65871,109.702858,67,53,79.1044776119403
S1000252,1,Rockridge-bound,11th → 15th,Midday,901,137.140043,185.651578,1046,937,89.5793499043977
S1000252,1,Rockridge-bound,11th → 15th,PM peak,597,124.892777,177.8004188,677,581,85.81979320531758
S1000252,1,Rockridge-bound,20th → Grand,AM peak,378,78.272283,128.4245229,406,376,92.61083743842364
S1000252,1,Rockridge-bound,20th → Grand,Early AM,90,49.8552495,69.6640573,99,93,93.93939393939394
S1000252,1,Rockridge-bound,20th → Grand,Evening,512,78.6316035,138.178231,641,503,78.47113884555382
S1000252,1,Rockridge-bound,20th → Grand,Late night,53,53.243017,102.09008640000002,67,53,79.1044776119403
S1000252,1,Rockridge-bound,20th → Grand,Midday,910,101.32017300000001,154.056027,1046,937,89.5793499043977
S1000252,1,Rockridge-bound,20th → Grand,PM peak,597,106.360696,166.48646639999998,677,581,85.81979320531758
