feed,stop_id,stop_name,lat,lon
S1000251,3683,College Av & Miles Av,37.844542,-122.251966
S1000251,5333,College Av & Lawton Av,37.841927,-122.251623
S1000251,5332,College Av & Manila Av,37.839747,-122.251371
S1000251,2541,College Av & Broadway,37.836724,-122.251347
S1000251,5873,Broadway & 51st St,37.834912,-122.252277
S1000251,2497,Broadway & 42nd St (Oakland Technical High School),37.831387,-122.254451
S1000251,5334,Broadway & 40th St,37.827186,-122.257103
S1000251,2512,Broadway & W MacArthur Blvd,37.82413,-122.258982
S1000251,2474,Broadway & Mosswood Park,37.822987,-122.25968
S1000251,5335,Broadway & Hawthorne Av,37.820527,-122.261221
S1000251,5568,Broadway & 30th St,37.818395,-122.262603
S1000251,2493,Broadway & 28th St,37.816228,-122.263923
S1000251,5183,Broadway & 25th St,37.813969,-122.265351
S1000251,2511,Broadway & W Grand Av,37.811175,-122.267044
S1000251,2487,Broadway & 19th St (19th St BART),37.807922,-122.269089
S1000251,5224,Broadway & 17th St (19th St BART),37.806323,-122.270078
S1000251,2476,Broadway & 12th St (12th St BART),37.803051,-122.272065
S1000251,5338,Broadway & 9th St,37.801197,-122.273313
S1000251,2247,7th St & Franklin St,37.799014,-122.273177
S1000251,210,Webster St & Willie Stargell Av,37.78286,-122.27677
S1000251,166,Webster St & Ralph Appezzato Memorial Pkwy,37.779082,-122.276692
S1000251,167,Webster St & Buena Vista Av,37.777035,-122.276769
S1000251,185,Webster St & Lincoln Av,37.774893,-122.276819
S1000251,152,Santa Clara Av & Webster St,37.773272,-122.276436
S1000251,135,Santa Clara Av & 8th St,37.773159,-122.272867
S1000251,142,Santa Clara Av & Caroline St,37.773022,-122.268217
S1000251,139,Santa Clara Av & Bay St,37.772879,-122.264772
S1000251,5320,Santa Clara Av & Morton St,37.772816,-122.261859
S1000251,149,Santa Clara Av & Stanton St,37.772773,-122.259788
S1000251,145,Santa Clara Av & Grand St,37.771537,-122.256317
S1000251,5314,Santa Clara Av & Chestnut St,37.769484,-122.251594
S1000251,5323,Santa Clara Av & Willow St,37.768305,-122.248899
S1000251,151,Santa Clara Av & Walnut St,37.767192,-122.246334
S1000251,146,Santa Clara Av & Oak St,37.766038,-122.243794
S1000251,148,Santa Clara Av & Park St,37.765368,-122.242085
S1000251,5316,Santa Clara Av & Everett St,37.764465,-122.240394
S1000251,16,Broadway & Santa Clara Av,37.763731,-122.238062
S1000251,5317,Broadway & Eagle Av,37.766976,-122.235342
S1000251,14,Blanding Av & Broadway,37.768581,-122.23377
S1000251,2818,Fruitvale Av + Alameda Av,37.769825,-122.229394
S1000251,6467,Fruitvale Av & E 9th St,37.773712,-122.227691
S1000251,2844,Fruitvale BART,37.775,-122.224569
S1000251,179,Park St & Buena Vista Av,37.767968,-122.23983
S1000251,6468,Fruitvale Av & E 9th St,37.773267,-122.228107
S1000251,2817,Fruitvale Av + Alameda Av,37.769813,-122.229717
S1000251,193,Broadway & Blanding Av,37.76859,-122.234222
S1000251,17,Broadway & Tilden Way,37.76746,-122.235163
S1000251,141,Santa Clara Av & Broadway,37.76368,-122.238582
S1000251,147,Santa Clara Av & Park St,37.765284,-122.241692
S1000251,5318,Santa Clara Av & Oak St,37.766168,-122.2436
S1000251,5315,Santa Clara Av & Walnut St,37.767416,-122.246484
S1000251,153,Santa Clara Av & Willow St,37.768483,-122.248904
S1000251,143,Santa Clara Av & Chestnut St,37.769728,-122.251761
S1000251,144,Santa Clara Av & Grand St,37.771552,-122.256026
S1000251,150,Santa Clara Av & Stanton St,37.772913,-122.259887
S1000251,5319,Santa Clara Av & Morton St,37.772979,-122.262376
S1000251,140,Santa Clara Av & Bay St,37.773076,-122.26492
S1000251,5321,Santa Clara Av & Mozart St,37.773203,-122.268865
S1000251,136,Santa Clara Av & 8th St,37.773303,-122.272594
S1000251,188,Webster St & Santa Clara Av,37.773611,-122.276711
S1000251,168,Webster St & Lincoln Av,37.775491,-122.276645
S1000251,5322,Webster St & Buena Vista Av,37.777642,-122.276536
S1000251,203,Webster St & Atlantic Av,37.780202,-122.276366
S1000251,211,Webster St & Willie Stargell Av,37.783169,-122.276388
S1000251,2306,8th St & Harrison St,37.799058,-122.270547
S1000251,2305,8th St & Broadway,37.80017,-122.273479
S1000251,6036,Broadway & 11th St (12th St BART),37.80208,-122.272453
S1000251,6200,Broadway & 15th St,37.805037,-122.270599
S1000251,2486,Broadway & 17th St,37.806506,-122.26971
S1000251,2489,Broadway & Thomas L Berkley Way (20th St),37.809324,-122.267939
S1000251,2507,Broadway & Grand Av,37.811799,-122.266381
S1000251,2490,Broadway & 25th St,37.814038,-122.264986
S1000251,2491,Broadway & 27th St,37.815425,-122.264113
S1000251,2492,Broadway & 28th St,37.816493,-122.263436
S1000251,5326,Broadway & 30th St,37.818848,-122.262031
S1000251,2509,Broadway & Piedmont Av,37.820723,-122.260797
S1000251,5327,Broadway & Kaiser Hospital Entrance,37.823542,-122.259017
S1000251,3701,Broadway & W MacArthur Blvd,37.824916,-122.258174
S1000251,2496,Broadway & 40th St,37.827341,-122.256671
S1000251,5231,Broadway & Mather St,37.831499,-122.2541
S1000251,5328,Broadway & Pleasant Valley Av,37.834686,-122.251989
S1000251,2542,College Av & Broadway,37.836855,-122.251216
