service_date,deduped_rows,routes,trips_observed,vehicles_observed,arrivals,nonstale_arrivals,raw_rows,duplicate_rows,duplicate_pct
2026-04-18,168717,60,3525,295,161269,161269,168959,242,0.1
2026-04-19,176009,60,3652,289,169805,169805,176393,384,0.2
2026-04-20,217799,122,4761,439,208737,208737,218633,834,0.4
2026-04-21,229136,122,5002,448,220187,220187,229547,411,0.2
2026-04-22,230755,122,5034,437,222055,222055,381922,151167,39.6
2026-04-23,229603,122,4993,443,220511,220511,381242,151639,39.8
2026-04-24,222227,121,4847,441,213456,213456,222575,348,0.2
2026-04-25,186107,60,3906,303,179846,179846,186447,340,0.2
2026-04-26,176579,60,3683,296,170446,170446,176772,193,0.1
2026-04-27,223690,122,4881,444,214778,214778,224255,565,0.3
2026-04-28,227350,122,4950,446,217468,217468,227871,521,0.2
2026-04-29,226788,122,4934,441,217240,217240,227221,433,0.2
2026-04-30,221173,121,4779,438,212069,212069,221774,601,0.3
2026-05-01,211451,121,4583,440,201887,201887,211958,507,0.2
2026-05-02,171588,60,3544,292,165078,165078,171699,111,0.1
2026-05-03,173595,60,3611,282,166786,166786,173879,284,0.2
2026-05-04,222100,121,4846,442,211850,211850,222272,172,0.1
2026-05-05,228057,122,4973,446,219260,219260,228322,265,0.1
2026-05-06,229620,122,5011,434,220827,220827,229911,291,0.1
2026-05-07,226799,122,4954,441,216950,216950,227048,249,0.1
2026-05-08,222017,122,4818,435,212435,212435,222297,280,0.1
2026-05-09,180821,60,3756,305,173418,173418,181169,348,0.2
2026-05-10,163969,60,3412,287,156958,156958,164324,355,0.2
2026-05-11,212646,122,4645,442,204341,177646,283972,71326,25.1
2026-05-12,228620,121,4978,446,219881,193089,303333,74713,24.6
2026-05-13,232561,121,5064,436,223754,197379,307780,75219,24.4
2026-05-14,219628,121,4766,443,210678,185087,291693,72065,24.7
2026-05-15,216190,121,4688,428,206926,182592,286519,70329,24.5
2026-05-16,175035,60,3628,300,167545,151774,234377,59342,25.3
2026-05-17,174116,60,3621,289,167459,152589,237418,63302,26.7
2026-05-18,209699,122,4589,434,201100,175221,278605,68906,24.7
2026-05-19,173670,112,3779,443,164616,143028,229049,55379,24.2
2026-05-20,204655,114,4500,448,195721,171259,268168,63513,23.7
2026-05-21,220349,122,4785,444,211010,186115,291336,70987,24.4
2026-05-22,214891,115,4649,435,206607,182396,286583,71692,25.0
2026-05-23,179305,60,3740,305,172926,156336,243920,64615,26.5
2026-05-24,172103,60,3575,287,165321,149511,238007,65904,27.7
2026-05-25,189208,60,3964,287,182520,165418,258393,69185,26.8
2026-05-26,224045,121,4891,449,214915,190046,298405,74360,24.9
2026-05-27,220941,121,4773,443,212662,186616,293050,72109,24.6
2026-05-28,221122,122,4791,438,212824,187123,292917,71795,24.5
2026-05-29,215915,99,4663,428,206612,184938,288674,72759,25.2
2026-05-30,173636,59,3605,294,166625,150911,236852,63216,26.7
2026-05-31,177548,60,3696,285,170566,155147,239708,62160,25.9
2026-06-01,218442,95,4773,420,210208,185866,291486,73044,25.1
2026-06-02,220124,96,4782,435,211208,187148,294330,74206,25.2
2026-06-03,213868,91,4624,415,205919,182641,285041,71173,25.0
2026-06-04,214557,89,4641,414,205723,183129,284271,69714,24.5
2026-06-05,210635,86,4531,412,201921,180748,284962,74327,26.1
2026-06-06,173494,60,3607,299,165530,149649,241628,68134,28.2
2026-06-07,172400,60,3580,294,165827,150340,234779,62379,26.6
2026-06-08,213494,85,4600,412,205512,181874,289038,75544,26.1
2026-06-09,220073,86,4755,411,211907,188120,294872,74799,25.4
2026-06-10,218767,85,4740,416,210610,187525,290441,71674,24.7
2026-06-11,205591,86,4430,403,197764,176683,276373,70782,25.6
2026-06-12,199947,85,4323,396,191433,171819,271750,71803,26.4
2026-06-13,161091,60,3321,292,154281,140202,220199,59108,26.8
2026-06-14,15552,50,310,150,12495,7514,19896,4344,21.8
2026-06-15,217595,76,4667,411,209512,186908,292966,75371,25.7
2026-06-16,223778,76,4829,416,215238,192098,301388,77610,25.8
2026-06-17,222079,76,4810,409,213429,190965,298468,76389,25.6
2026-06-18,219903,76,4752,423,211889,189549,295706,75803,25.6
2026-06-19,189484,60,3949,303,181695,164509,249104,59620,23.9
2026-06-20,177073,60,3638,298,169161,152293,240881,63808,26.5
2026-06-21,155599,60,3281,273,149744,135037,213521,57922,27.1
2026-06-22,213460,76,4602,425,204936,181956,291138,77678,26.7
2026-06-23,215973,75,4638,423,207052,184377,292440,76467,26.1
2026-06-24,218741,76,4709,418,210195,187568,295998,77257,26.1
2026-06-25,210372,76,4529,424,201900,179747,283553,73181,25.8
2026-06-26,204892,76,4427,409,196749,176697,277182,72290,26.1
2026-06-27,177060,60,3710,296,170698,153024,238216,61156,25.7
2026-06-28,175484,60,3637,294,169360,152193,238850,63366,26.5
2026-06-29,221069,76,4783,422,212817,189007,295319,74250,25.1
2026-06-30,217216,76,4682,418,208209,186096,292887,75671,25.8
2026-07-01,217459,76,4695,409,209081,187307,289701,72242,24.9
2026-07-02,219843,76,4750,426,211784,190222,294315,74472,25.3
2026-07-03,187600,60,3915,301,180747,164216,250875,63275,25.2
2026-07-04,183308,60,3830,303,176846,158227,249350,66042,26.5
2026-07-05,144833,60,3022,270,139218,124653,202095,57262,28.3
2026-07-06,204507,76,4412,412,196604,173852,276519,72012,26.0
2026-07-07,209586,76,4549,403,201597,178709,284213,74627,26.3
2026-07-08,214843,76,4635,413,206692,184120,289403,74560,25.8
2026-07-09,209884,76,4541,415,201770,181473,285079,75195,26.4
2026-07-10,202677,76,4366,403,194636,173342,275771,73094,26.5
2026-07-11,161620,60,3398,295,154240,138076,222935,61315,27.5
2026-07-12,162725,60,3413,287,156852,140813,223778,61053,27.3
2026-07-13,206023,76,4476,423,197928,175938,280579,74556,26.6
2026-07-14,204776,76,4486,409,196664,175111,273059,68283,25.0
2026-07-15,213043,76,4617,411,205052,182344,285529,72486,25.4
2026-07-16,209564,76,4552,414,201147,178847,280177,70613,25.2
2026-07-17,204261,75,4446,406,196298,175920,276808,72547,26.2
2026-07-18,170960,60,3530,306,164326,146786,231351,60391,26.1
2026-07-19,156031,60,3281,280,149521,135023,215472,59441,27.6
2026-07-20,203279,76,4398,402,195374,174058,274000,70721,25.8
2026-07-21,210227,76,4528,408,201879,179232,282830,72603,25.7
2026-07-22,211071,76,4582,420,202608,180509,284547,73476,25.8
2026-07-23,207295,76,4471,411,198766,175744,281361,74066,26.3
2026-07-24,199530,76,4292,402,190248,171024,269784,70254,26.0
2026-07-25,162406,60,3369,287,155412,139542,220236,57830,26.3
2026-07-26,160340,60,3345,286,154013,139397,221529,61189,27.6
2026-07-27,211894,76,4573,411,203405,181155,285715,73821,25.8
2026-07-28,219828,76,4732,415,211523,188726,295438,75610,25.6
2026-07-29,219711,76,4745,424,211428,188304,294981,75270,25.5
2026-07-30,211706,76,4612,413,203596,180391,286812,75106,26.2
2026-07-31,198800,76,4296,406,190061,169406,267720,68920,25.7
2026-08-01,174857,60,3619,306,167539,150704,236564,61707,26.1
2026-08-02,152694,60,3178,272,145602,131590,207954,55260,26.6
2026-08-03,192922,76,4208,400,184283,163367,262608,69686,26.5
2026-08-04,201935,76,4375,407,192863,171036,272255,70320,25.8
2026-08-05,203635,76,4434,400,196064,174697,273353,69718,25.5
