grain,week_start,period,route_group,ran_trips,reached_final_stop,incomplete_trips,severely_truncated_trips,p05_completion_pct,p50_completion_pct
period,,Baseline,All Nighter,1979,1508,471,25,94.11764705882352,100.0
period,,Baseline,Early Bird,57,56,1,1,100.0,100.0
period,,Baseline,Local / other,109126,93067,16059,806,95.83333333333334,100.0
period,,Baseline,School,1610,836,774,56,83.6734693877551,100.0
period,,Baseline,Transbay,7556,6211,1345,211,90.9090909090909,100.0
period,,Post-shift,All Nighter,673,518,155,8,94.11764705882352,100.0
period,,Post-shift,Early Bird,27,27,0,0,100.0,100.0
period,,Post-shift,Local / other,35300,29332,5968,460,95.23809523809523,100.0
period,,Post-shift,School,726,421,305,24,82.14285714285714,100.0
period,,Post-shift,Transbay,2611,2178,433,50,91.30434782608695,100.0
period,,Summer,All Nighter,4187,3229,958,22,96.55172413793103,100.0
period,,Summer,Early Bird,142,141,1,1,100.0,100.0
period,,Summer,Local / other,212776,180822,31954,1554,95.83333333333334,100.0
period,,Summer,School,12,7,5,0,87.5,100.0
period,,Summer,Transbay,15013,12606,2407,415,90.9090909090909,100.0
week,2026-05-17,,All Nighter,373,295,78,5,94.11764705882352,100.0
week,2026-05-17,,Early Bird,10,10,0,0,100.0,100.0
week,2026-05-17,,Local / other,26786,22569,4217,198,95.83333333333334,100.0
week,2026-05-17,,School,651,348,303,12,85.71428571428571,100.0
week,2026-05-17,,Transbay,1843,1450,393,64,90.0,100.0
week,2026-05-24,,All Nighter,527,404,123,5,94.11764705882352,100.0
week,2026-05-24,,Early Bird,13,12,1,1,75.0,100.0
week,2026-05-24,,Local / other,27395,23394,4001,205,95.83333333333334,100.0
week,2026-05-24,,School,522,273,249,14,85.0,100.0
week,2026-05-24,,Transbay,1805,1532,273,39,91.30434782608695,100.0
week,2026-05-31,,All Nighter,549,411,138,8,93.75,100.0
week,2026-05-31,,Early Bird,18,18,0,0,100.0,100.0
week,2026-05-31,,Local / other,27862,23864,3998,205,95.83333333333334,100.0
week,2026-05-31,,School,269,131,138,21,63.888888888888886,97.91666666666666
week,2026-05-31,,Transbay,1956,1595,361,61,90.9090909090909,100.0
week,2026-06-07,,All Nighter,530,398,132,7,94.11764705882352,100.0
week,2026-06-07,,Early Bird,16,16,0,0,100.0,100.0
week,2026-06-07,,Local / other,27083,23240,3843,198,95.83333333333334,100.0
week,2026-06-07,,School,168,84,84,9,77.55102040816327,98.0
week,2026-06-07,,Transbay,1952,1634,318,47,90.9090909090909,100.0
week,2026-06-14,,All Nighter,467,360,107,2,94.44444444444444,100.0
week,2026-06-14,,Early Bird,14,13,1,1,75.0,100.0
week,2026-06-14,,Local / other,24478,20755,3723,159,95.83333333333334,100.0
week,2026-06-14,,Transbay,1686,1382,304,50,90.9090909090909,100.0
week,2026-06-21,,All Nighter,527,407,120,1,96.66666666666667,100.0
week,2026-06-21,,Early Bird,17,17,0,0,100.0,100.0
week,2026-06-21,,Local / other,27413,23373,4040,196,95.83333333333334,100.0
week,2026-06-21,,Transbay,1939,1622,317,52,90.9090909090909,100.0
week,2026-06-28,,All Nighter,542,415,127,1,96.55172413793103,100.0
week,2026-06-28,,Early Bird,14,14,0,0,100.0,100.0
week,2026-06-28,,Local / other,27881,23591,4290,197,95.45454545454545,100.0
week,2026-06-28,,Transbay,1855,1585,270,45,91.30434782608695,100.0
week,2026-07-05,,All Nighter,533,406,127,2,96.47058823529412,100.0
week,2026-07-05,,Early Bird,20,20,0,0,100.0,100.0
week,2026-07-05,,Local / other,26490,22611,3879,186,95.83333333333334,100.0
week,2026-07-05,,Transbay,1880,1642,238,46,90.9090909090909,100.0
week,2026-07-12,,All Nighter,533,412,121,3,96.66666666666667,100.0
week,2026-07-12,,Early Bird,18,18,0,0,100.0,100.0
week,2026-07-12,,Local / other,27043,23079,3964,191,95.83333333333334,100.0
week,2026-07-12,,Transbay,1926,1635,291,51,90.9090909090909,100.0
week,2026-07-19,,All Nighter,531,404,127,5,94.28571428571428,100.0
week,2026-07-19,,Early Bird,20,20,0,0,100.0,100.0
week,2026-07-19,,Local / other,26480,22560,3920,199,95.83333333333334,100.0
week,2026-07-19,,Transbay,1890,1586,304,45,90.9090909090909,100.0
week,2026-07-26,,All Nighter,525,403,122,5,94.28571428571428,100.0
week,2026-07-26,,Early Bird,20,20,0,0,100.0,100.0
week,2026-07-26,,Local / other,27390,23318,4072,190,95.83333333333334,100.0
week,2026-07-26,,Transbay,1987,1679,308,59,90.47619047619048,100.0
week,2026-08-02,,All Nighter,529,422,107,3,96.875,100.0
week,2026-08-02,,Early Bird,19,19,0,0,100.0,100.0
week,2026-08-02,,Local / other,25601,21535,4066,236,95.45454545454545,100.0
week,2026-08-02,,School,12,7,5,0,87.5,100.0
week,2026-08-02,,Transbay,1850,1475,375,67,86.95652173913044,100.0
week,2026-08-09,,All Nighter,455,345,110,7,93.75,100.0
week,2026-08-09,,Early Bird,19,19,0,0,100.0,100.0
week,2026-08-09,,Local / other,24006,19890,4116,366,95.0,100.0
week,2026-08-09,,School,472,282,190,15,82.92682926829268,100.0
week,2026-08-09,,Transbay,1815,1524,291,38,91.30434782608695,100.0
week,2026-08-16,,All Nighter,218,173,45,1,94.44444444444444,100.0
week,2026-08-16,,Early Bird,8,8,0,0,100.0,100.0
week,2026-08-16,,Local / other,11294,9442,1852,94,95.45454545454545,100.0
week,2026-08-16,,School,254,139,115,9,82.14285714285714,100.0
week,2026-08-16,,Transbay,796,654,142,12,91.30434782608695,100.0
