grain,period,week_start,route_group,route_id,headway_bin_seconds,n
period_group,Baseline,,All Nighter,,60,48
period_group,Baseline,,All Nighter,,120,57
period_group,Baseline,,All Nighter,,180,27
period_group,Baseline,,All Nighter,,240,20
period_group,Baseline,,All Nighter,,300,13
period_group,Baseline,,All Nighter,,360,24
period_group,Baseline,,All Nighter,,420,17
period_group,Baseline,,All Nighter,,480,10
period_group,Baseline,,All Nighter,,540,34
period_group,Baseline,,All Nighter,,600,19
period_group,Baseline,,All Nighter,,660,27
period_group,Baseline,,All Nighter,,720,36
period_group,Baseline,,All Nighter,,780,48
period_group,Baseline,,All Nighter,,840,44
period_group,Baseline,,All Nighter,,900,79
period_group,Baseline,,All Nighter,,960,130
period_group,Baseline,,All Nighter,,1020,157
period_group,Baseline,,All Nighter,,1080,183
period_group,Baseline,,All Nighter,,1140,256
period_group,Baseline,,All Nighter,,1200,380
period_group,Baseline,,All Nighter,,1260,425
period_group,Baseline,,All Nighter,,1320,569
period_group,Baseline,,All Nighter,,1380,740
period_group,Baseline,,All Nighter,,1440,1072
period_group,Baseline,,All Nighter,,1500,1288
period_group,Baseline,,All Nighter,,1560,2023
period_group,Baseline,,All Nighter,,1620,2412
period_group,Baseline,,All Nighter,,1680,3402
period_group,Baseline,,All Nighter,,1740,4318
period_group,Baseline,,All Nighter,,1800,5217
period_group,Baseline,,All Nighter,,1860,4038
period_group,Baseline,,All Nighter,,1920,3307
period_group,Baseline,,All Nighter,,1980,2269
period_group,Baseline,,All Nighter,,2040,1681
period_group,Baseline,,All Nighter,,2100,1347
period_group,Baseline,,All Nighter,,2160,967
period_group,Baseline,,All Nighter,,2220,621
period_group,Baseline,,All Nighter,,2280,460
period_group,Baseline,,All Nighter,,2340,411
period_group,Baseline,,All Nighter,,2400,228
period_group,Baseline,,All Nighter,,2460,201
period_group,Baseline,,All Nighter,,2520,184
period_group,Baseline,,All Nighter,,2580,161
period_group,Baseline,,All Nighter,,2640,163
period_group,Baseline,,All Nighter,,2700,244
period_group,Baseline,,All Nighter,,2760,167
period_group,Baseline,,All Nighter,,2820,168
period_group,Baseline,,All Nighter,,2880,185
period_group,Baseline,,All Nighter,,2940,274
period_group,Baseline,,All Nighter,,3000,334
period_group,Baseline,,All Nighter,,3060,466
period_group,Baseline,,All Nighter,,3120,621
period_group,Baseline,,All Nighter,,3180,924
period_group,Baseline,,All Nighter,,3240,1331
period_group,Baseline,,All Nighter,,3300,1832
period_group,Baseline,,All Nighter,,3360,2786
period_group,Baseline,,All Nighter,,3420,3910
period_group,Baseline,,All Nighter,,3480,5171
period_group,Baseline,,All Nighter,,3540,7040
period_group,Baseline,,All Nighter,,3600,7958
period_group,Baseline,,All Nighter,,3660,6821
period_group,Baseline,,All Nighter,,3720,4625
period_group,Baseline,,All Nighter,,3780,3326
period_group,Baseline,,All Nighter,,3840,2074
period_group,Baseline,,All Nighter,,3900,1449
period_group,Baseline,,All Nighter,,3960,1057
period_group,Baseline,,All Nighter,,4020,729
period_group,Baseline,,All Nighter,,4080,605
period_group,Baseline,,All Nighter,,4140,475
period_group,Baseline,,All Nighter,,4200,347
period_group,Baseline,,All Nighter,,4260,174
period_group,Baseline,,All Nighter,,4320,142
period_group,Baseline,,All Nighter,,4380,170
period_group,Baseline,,All Nighter,,4440,93
period_group,Baseline,,All Nighter,,4500,70
period_group,Baseline,,All Nighter,,4560,42
period_group,Baseline,,All Nighter,,4620,38
period_group,Baseline,,All Nighter,,4680,19
period_group,Baseline,,All Nighter,,4740,21
period_group,Baseline,,All Nighter,,4800,11
period_group,Baseline,,All Nighter,,4860,8
period_group,Baseline,,All Nighter,,4920,6
period_group,Baseline,,All Nighter,,4980,13
period_group,Baseline,,All Nighter,,5040,8
period_group,Baseline,,All Nighter,,5100,14
period_group,Baseline,,All Nighter,,5160,8
period_group,Baseline,,All Nighter,,5220,2
period_group,Baseline,,All Nighter,,5280,1
period_group,Baseline,,All Nighter,,5340,2
period_group,Baseline,,All Nighter,,5400,12
period_group,Baseline,,All Nighter,,5460,13
period_group,Baseline,,All Nighter,,5520,5
period_group,Baseline,,All Nighter,,5640,2
period_group,Baseline,,All Nighter,,5700,4
period_group,Baseline,,All Nighter,,5760,17
period_group,Baseline,,All Nighter,,5820,27
period_group,Baseline,,All Nighter,,5880,13
period_group,Baseline,,All Nighter,,5940,6
period_group,Baseline,,All Nighter,,6000,1
period_group,Baseline,,All Nighter,,6060,15
period_group,Baseline,,All Nighter,,6120,1
period_group,Baseline,,All Nighter,,6240,3
period_group,Baseline,,All Nighter,,6300,3
period_group,Baseline,,All Nighter,,6360,9
period_group,Baseline,,All Nighter,,6420,12
period_group,Baseline,,All Nighter,,6480,5
period_group,Baseline,,All Nighter,,6600,7
period_group,Baseline,,All Nighter,,6660,19
period_group,Baseline,,All Nighter,,6720,13
period_group,Baseline,,All Nighter,,6780,33
period_group,Baseline,,All Nighter,,6840,17
period_group,Baseline,,All Nighter,,6900,104
period_group,Baseline,,All Nighter,,6960,96
period_group,Baseline,,All Nighter,,7020,289
period_group,Baseline,,All Nighter,,7080,261
period_group,Baseline,,All Nighter,,7140,235
period_group,Baseline,,All Nighter,,7200,109
period_group,Baseline,,Early Bird,,360,1
period_group,Baseline,,Early Bird,,420,2
period_group,Baseline,,Early Bird,,480,1
period_group,Baseline,,Early Bird,,540,1
period_group,Baseline,,Early Bird,,600,3
period_group,Baseline,,Early Bird,,660,2
period_group,Baseline,,Local / other,,60,8813
period_group,Baseline,,Local / other,,120,17631
period_group,Baseline,,Local / other,,180,17698
period_group,Baseline,,Local / other,,240,20847
period_group,Baseline,,Local / other,,300,24408
period_group,Baseline,,Local / other,,360,31188
period_group,Baseline,,Local / other,,420,38015
period_group,Baseline,,Local / other,,480,48912
period_group,Baseline,,Local / other,,540,60316
period_group,Baseline,,Local / other,,600,73687
period_group,Baseline,,Local / other,,660,85642
period_group,Baseline,,Local / other,,720,101830
period_group,Baseline,,Local / other,,780,114011
period_group,Baseline,,Local / other,,840,128102
period_group,Baseline,,Local / other,,900,141869
period_group,Baseline,,Local / other,,960,142360
period_group,Baseline,,Local / other,,1020,142071
period_group,Baseline,,Local / other,,1080,151843
period_group,Baseline,,Local / other,,1140,157206
period_group,Baseline,,Local / other,,1200,164991
period_group,Baseline,,Local / other,,1260,149672
period_group,Baseline,,Local / other,,1320,129842
period_group,Baseline,,Local / other,,1380,113485
period_group,Baseline,,Local / other,,1440,109790
period_group,Baseline,,Local / other,,1500,107161
period_group,Baseline,,Local / other,,1560,117552
period_group,Baseline,,Local / other,,1620,133611
period_group,Baseline,,Local / other,,1680,167182
period_group,Baseline,,Local / other,,1740,191648
period_group,Baseline,,Local / other,,1800,218760
period_group,Baseline,,Local / other,,1860,197107
period_group,Baseline,,Local / other,,1920,167323
period_group,Baseline,,Local / other,,1980,132555
period_group,Baseline,,Local / other,,2040,102692
period_group,Baseline,,Local / other,,2100,85287
period_group,Baseline,,Local / other,,2160,69347
period_group,Baseline,,Local / other,,2220,63762
period_group,Baseline,,Local / other,,2280,61171
period_group,Baseline,,Local / other,,2340,64048
period_group,Baseline,,Local / other,,2400,64526
period_group,Baseline,,Local / other,,2460,55271
period_group,Baseline,,Local / other,,2520,48330
period_group,Baseline,,Local / other,,2580,38564
period_group,Baseline,,Local / other,,2640,32755
period_group,Baseline,,Local / other,,2700,26587
period_group,Baseline,,Local / other,,2760,21305
period_group,Baseline,,Local / other,,2820,16312
period_group,Baseline,,Local / other,,2880,13150
period_group,Baseline,,Local / other,,2940,10909
period_group,Baseline,,Local / other,,3000,9894
period_group,Baseline,,Local / other,,3060,9168
period_group,Baseline,,Local / other,,3120,9643
period_group,Baseline,,Local / other,,3180,10766
period_group,Baseline,,Local / other,,3240,13347
period_group,Baseline,,Local / other,,3300,16162
period_group,Baseline,,Local / other,,3360,21105
period_group,Baseline,,Local / other,,3420,26448
period_group,Baseline,,Local / other,,3480,34947
period_group,Baseline,,Local / other,,3540,40853
period_group,Baseline,,Local / other,,3600,46044
period_group,Baseline,,Local / other,,3660,42577
period_group,Baseline,,Local / other,,3720,34221
period_group,Baseline,,Local / other,,3780,28399
period_group,Baseline,,Local / other,,3840,21905
period_group,Baseline,,Local / other,,3900,17660
period_group,Baseline,,Local / other,,3960,13500
period_group,Baseline,,Local / other,,4020,10944
period_group,Baseline,,Local / other,,4080,8459
period_group,Baseline,,Local / other,,4140,5981
period_group,Baseline,,Local / other,,4200,4518
period_group,Baseline,,Local / other,,4260,3326
period_group,Baseline,,Local / other,,4320,2799
period_group,Baseline,,Local / other,,4380,2351
period_group,Baseline,,Local / other,,4440,1975
period_group,Baseline,,Local / other,,4500,1885
period_group,Baseline,,Local / other,,4560,2068
period_group,Baseline,,Local / other,,4620,2409
period_group,Baseline,,Local / other,,4680,3091
period_group,Baseline,,Local / other,,4740,3264
period_group,Baseline,,Local / other,,4800,3373
period_group,Baseline,,Local / other,,4860,2927
period_group,Baseline,,Local / other,,4920,2688
period_group,Baseline,,Local / other,,4980,2154
period_group,Baseline,,Local / other,,5040,1977
period_group,Baseline,,Local / other,,5100,1744
period_group,Baseline,,Local / other,,5160,1807
period_group,Baseline,,Local / other,,5220,2029
period_group,Baseline,,Local / other,,5280,2139
period_group,Baseline,,Local / other,,5340,2556
period_group,Baseline,,Local / other,,5400,2698
period_group,Baseline,,Local / other,,5460,2239
period_group,Baseline,,Local / other,,5520,1989
period_group,Baseline,,Local / other,,5580,1561
period_group,Baseline,,Local / other,,5640,1268
period_group,Baseline,,Local / other,,5700,1004
period_group,Baseline,,Local / other,,5760,826
period_group,Baseline,,Local / other,,5820,616
period_group,Baseline,,Local / other,,5880,518
period_group,Baseline,,Local / other,,5940,417
period_group,Baseline,,Local / other,,6000,304
period_group,Baseline,,Local / other,,6060,289
period_group,Baseline,,Local / other,,6120,303
period_group,Baseline,,Local / other,,6180,228
period_group,Baseline,,Local / other,,6240,199
period_group,Baseline,,Local / other,,6300,185
period_group,Baseline,,Local / other,,6360,201
period_group,Baseline,,Local / other,,6420,205
period_group,Baseline,,Local / other,,6480,223
period_group,Baseline,,Local / other,,6540,235
period_group,Baseline,,Local / other,,6600,217
period_group,Baseline,,Local / other,,6660,291
period_group,Baseline,,Local / other,,6720,354
period_group,Baseline,,Local / other,,6780,328
period_group,Baseline,,Local / other,,6840,409
period_group,Baseline,,Local / other,,6900,539
period_group,Baseline,,Local / other,,6960,657
period_group,Baseline,,Local / other,,7020,918
period_group,Baseline,,Local / other,,7080,970
period_group,Baseline,,Local / other,,7140,1358
period_group,Baseline,,Local / other,,7200,835
period_group,Baseline,,School,,60,719
period_group,Baseline,,School,,120,1305
period_group,Baseline,,School,,180,887
period_group,Baseline,,School,,240,762
period_group,Baseline,,School,,300,591
period_group,Baseline,,School,,360,627
period_group,Baseline,,School,,420,450
period_group,Baseline,,School,,480,293
period_group,Baseline,,School,,540,308
period_group,Baseline,,School,,600,221
period_group,Baseline,,School,,660,232
period_group,Baseline,,School,,720,225
period_group,Baseline,,School,,780,161
period_group,Baseline,,School,,840,119
period_group,Baseline,,School,,900,100
period_group,Baseline,,School,,960,175
period_group,Baseline,,School,,1020,112
period_group,Baseline,,School,,1080,82
period_group,Baseline,,School,,1140,61
period_group,Baseline,,School,,1200,42
period_group,Baseline,,School,,1260,73
period_group,Baseline,,School,,1320,72
period_group,Baseline,,School,,1380,71
period_group,Baseline,,School,,1440,110
period_group,Baseline,,School,,1500,92
period_group,Baseline,,School,,1560,52
period_group,Baseline,,School,,1620,52
period_group,Baseline,,School,,1680,73
period_group,Baseline,,School,,1740,43
period_group,Baseline,,School,,1800,44
period_group,Baseline,,School,,1860,34
period_group,Baseline,,School,,1920,91
period_group,Baseline,,School,,1980,133
period_group,Baseline,,School,,2040,115
period_group,Baseline,,School,,2100,180
period_group,Baseline,,School,,2160,208
period_group,Baseline,,School,,2220,181
period_group,Baseline,,School,,2280,118
period_group,Baseline,,School,,2340,144
period_group,Baseline,,School,,2400,187
period_group,Baseline,,School,,2460,164
period_group,Baseline,,School,,2520,208
period_group,Baseline,,School,,2580,205
period_group,Baseline,,School,,2640,309
period_group,Baseline,,School,,2700,227
period_group,Baseline,,School,,2760,276
period_group,Baseline,,School,,2820,231
period_group,Baseline,,School,,2880,227
period_group,Baseline,,School,,2940,168
period_group,Baseline,,School,,3000,170
period_group,Baseline,,School,,3060,175
period_group,Baseline,,School,,3120,113
period_group,Baseline,,School,,3180,161
period_group,Baseline,,School,,3240,197
period_group,Baseline,,School,,3300,169
period_group,Baseline,,School,,3360,238
period_group,Baseline,,School,,3420,242
period_group,Baseline,,School,,3480,346
period_group,Baseline,,School,,3540,318
period_group,Baseline,,School,,3600,236
period_group,Baseline,,School,,3660,144
period_group,Baseline,,School,,3720,73
period_group,Baseline,,School,,3780,67
period_group,Baseline,,School,,3840,50
period_group,Baseline,,School,,3900,35
period_group,Baseline,,School,,3960,27
period_group,Baseline,,School,,4020,50
period_group,Baseline,,School,,4080,91
period_group,Baseline,,School,,4140,57
period_group,Baseline,,School,,4200,52
period_group,Baseline,,School,,4260,100
period_group,Baseline,,School,,4320,54
period_group,Baseline,,School,,4380,47
period_group,Baseline,,School,,4440,19
period_group,Baseline,,School,,4500,21
period_group,Baseline,,School,,4560,30
period_group,Baseline,,School,,4620,20
period_group,Baseline,,School,,4680,33
period_group,Baseline,,School,,4740,35
period_group,Baseline,,School,,4800,19
period_group,Baseline,,School,,4860,78
period_group,Baseline,,School,,4920,84
period_group,Baseline,,School,,4980,34
period_group,Baseline,,School,,5040,28
period_group,Baseline,,School,,5100,37
period_group,Baseline,,School,,5160,33
period_group,Baseline,,School,,5220,26
period_group,Baseline,,School,,5280,1
period_group,Baseline,,School,,5340,5
period_group,Baseline,,School,,5400,5
period_group,Baseline,,School,,5460,4
period_group,Baseline,,School,,5520,10
period_group,Baseline,,School,,5580,14
period_group,Baseline,,School,,5640,30
period_group,Baseline,,School,,5700,9
period_group,Baseline,,School,,5760,20
period_group,Baseline,,School,,5820,5
period_group,Baseline,,School,,5880,9
period_group,Baseline,,School,,5940,36
period_group,Baseline,,School,,6000,27
period_group,Baseline,,School,,6060,16
period_group,Baseline,,School,,6120,23
period_group,Baseline,,School,,6180,5
period_group,Baseline,,School,,6240,5
period_group,Baseline,,School,,6300,15
period_group,Baseline,,School,,6360,23
period_group,Baseline,,School,,6420,13
period_group,Baseline,,School,,6480,40
period_group,Baseline,,School,,6540,6
period_group,Baseline,,School,,6600,4
period_group,Baseline,,School,,6660,15
period_group,Baseline,,School,,6720,4
period_group,Baseline,,School,,6780,1
period_group,Baseline,,School,,6840,4
period_group,Baseline,,School,,6900,4
period_group,Baseline,,School,,6960,1
period_group,Baseline,,School,,7020,3
period_group,Baseline,,School,,7080,10
period_group,Baseline,,School,,7140,1
