grain,period,week_start,route_group,route_id,headways,p50_headway_min,p90_headway_min,mean_rider_wait_min,p50_rider_wait_min,p90_rider_wait_min
period_group,Baseline,,All Nighter,,96205.0,56.0,63.0,27.26480275661561,24.333333333333332,53.1
period_group,Baseline,,Early Bird,,10.0,9.0,11.0,4.612359550561798,4.45,8.683333333333334
period_group,Baseline,,Local / other,,4876631.0,27.0,50.0,18.454976732170273,14.983333333333333,38.56666666666667
period_group,Baseline,,School,,15645.0,25.0,62.0,26.75743614837193,23.3,54.3
period_group,Baseline,,Transbay,,166443.0,29.0,55.0,19.48454773771056,16.166666666666668,39.86666666666667
period_group,Post-shift,,All Nighter,,32573.0,56.0,64.0,26.669845818384463,24.216666666666665,52.333333333333336
period_group,Post-shift,,Early Bird,,6.0,16.0,22.0,8.347826086956522,7.8,15.7
period_group,Post-shift,,Local / other,,1554843.0,27.0,51.0,18.830011596455385,15.2,39.38333333333333
period_group,Post-shift,,School,,5342.0,6.0,49.0,22.0407379639051,16.55,47.5
period_group,Post-shift,,Transbay,,56461.0,29.0,53.0,19.152416094967986,15.783333333333333,39.15
period_group,Summer,,All Nighter,,202089.0,56.0,64.0,27.00415677776471,24.133333333333333,52.93333333333333
period_group,Summer,,Early Bird,,33.0,10.0,20.0,8.105194805194806,6.066666666666666,19.133333333333333
period_group,Summer,,Local / other,,9461288.0,27.0,53.0,18.894345733948573,15.216666666666667,39.766666666666666
period_group,Summer,,Transbay,,328983.0,29.0,54.0,19.392363699380205,16.116666666666667,39.36666666666667
period_route,Baseline,,All Nighter,800,39894.0,30.0,36.0,16.481490266684585,15.533333333333333,29.3
period_route,Baseline,,All Nighter,801,18284.0,60.0,66.0,30.666880267947352,30.033333333333335,54.93333333333333
period_route,Baseline,,All Nighter,802,6000.0,60.0,62.0,30.225843925485286,30.033333333333335,54.083333333333336
period_route,Baseline,,All Nighter,805,12831.0,60.0,65.0,31.441456512840592,30.666666666666668,55.43333333333333
period_route,Baseline,,All Nighter,840,8263.0,60.0,63.0,31.848310733389877,30.9,55.68333333333333
