grain,period,route_group,route_id,service_days,scheduled_stop_rows,delivered_stop_rows,observed_trips,arrivals,on_time_arrivals,early_arrivals,late_arrivals,very_late_arrivals,p05_delay_seconds,p50_delay_seconds,p95_delay_seconds
group,Baseline,All Nighter,,27,118626,93122,1979,114740,51599,21538,41603,11538,-105,120,576
group,Baseline,Early Bird,,17,154,43,57,90,21,56,13,5,-322,-30,462
group,Baseline,Local / other,,28,5247875,3880000,109126,5045689,2076151,1201604,1767934,571059,-129,104,614
group,Baseline,School,,19,54181,34453,1610,49961,17994,15667,16300,5363,-288,84,594
group,Baseline,Transbay,,28,192850,125374,7556,178847,63530,46886,68431,24402,-262,112,671
group,Post-shift,All Nighter,,9,40348,29772,673,38935,16340,8997,13598,4533,-140,104,609
group,Post-shift,Early Bird,,7,70,24,27,41,11,15,15,6,-330,154,1126
group,Post-shift,Local / other,,9,1694624,1218600,35300,1615018,650701,391242,573075,198218,-135,104,648
group,Post-shift,School,,7,22428,14664,726,20593,6993,4962,8638,2968,-209,135,652
group,Post-shift,Transbay,,9,65979,39982,2611,61070,19698,17203,24169,9558,-288,114,720
group,Summer,All Nighter,,55,250913,192464,4187,242849,107398,48436,87015,27810,-110,112,625
group,Summer,Early Bird,,38,372,102,142,213,43,101,69,28,-323,35,761
group,Summer,Local / other,,55,10204560,7538545,212776,9807132,4060034,2361090,3386008,1082304,-132,102,606
group,Summer,School,,2,234,165,12,214,83,64,67,3,-378,110,391
group,Summer,Transbay,,55,380123,252161,15013,354105,128998,90157,134950,47226,-249,114,665
route,Baseline,All Nighter,800,27,45229,33332,629,44049,17324,11625,15100,4500,-156,94,578
route,Baseline,All Nighter,801,26,23355,18744,279,22857,10054,3344,9459,2621,-79,142,572
route,Baseline,All Nighter,802,25,8216,7192,249,7630,3989,440,3201,338,-6,157,410
route,Baseline,All Nighter,805,26,16355,13914,273,16009,8327,3930,3752,655,-98,70,390
route,Baseline,All Nighter,840,26,10580,9653,298,10135,6325,674,3136,357,-13,128,394
route,Baseline,All Nighter,851,26,14891,10287,251,14060,5580,1525,6955,3067,-61,178,868
route,Baseline,Early Bird,701,17,58,10,27,27,4,20,3,2,-205,-84,566
route,Baseline,Early Bird,702,14,28,1,13,13,1,12,0,0,-379,-307,37
route,Baseline,Early Bird,703,17,68,32,17,50,16,24,10,3,-267,2,462
route,Baseline,Local / other,12,28,186536,136848,2498,179169,67591,34809,76769,26241,-105,141,674
route,Baseline,Local / other,14,28,138842,106668,2521,134196,55883,19023,59290,19065,-77,152,634
route,Baseline,Local / other,18,28,286065,203661,3548,278754,106826,75843,96085,35391,-140,93,653
route,Baseline,Local / other,19,28,33694,22961,850,32303,12785,11304,8214,1824,-396,62,446
route,Baseline,Local / other,1T,28,171972,120780,5029,162975,60988,33150,68837,25804,-109,137,718
route,Baseline,Local / other,200,28,93525,72313,2030,90621,38775,19217,32629,8441,-127,114,528
route,Baseline,Local / other,210,28,78333,57853,1792,75090,30476,22225,22389,5642,-149,77,489
route,Baseline,Local / other,211,28,95604,71117,2040,92638,40168,32556,19914,3816,-178,49,393
route,Baseline,Local / other,216,28,34941,25689,766,33549,13328,5502,14719,5431,-85,149,770
route,Baseline,Local / other,22,28,125283,94910,1800,121968,52132,31716,38120,12005,-137,85,584
route,Baseline,Local / other,231,28,54241,40611,1094,52783,21704,14856,16223,4592,-137,84,513
route,Baseline,Local / other,239,28,62991,43369,1598,60540,22310,18969,19261,5218,-198,89,537
route,Baseline,Local / other,251,28,17807,13046,745,16804,7275,5748,3781,863,-151,50,426
route,Baseline,Local / other,27,28,105310,79092,1981,102074,46359,26390,29325,8081,-181,86,517
route,Baseline,Local / other,28,28,89646,67995,1337,87691,35529,14834,37328,12529,-96,143,663
route,Baseline,Local / other,281,28,26415,19781,777,25433,10894,7365,7174,1872,-144,81,514
route,Baseline,Local / other,30,28,80428,52535,1847,76986,25629,17072,34285,14941,-137,148,904
route,Baseline,Local / other,31,28,97199,66990,1632,93458,34187,28990,30281,11841,-147,68,657
route,Baseline,Local / other,34,28,67790,51721,1178,66186,27067,15744,23375,6924,-115,103,578
route,Baseline,Local / other,35,28,67628,50818,1207,65258,27134,15081,23043,6334,-135,111,553
route,Baseline,Local / other,36,28,124630,90050,2054,120804,49230,41351,30223,8166,-187,50,481
route,Baseline,Local / other,40,28,223597,167081,4308,215307,90851,50804,73652,23990,-119,100,613
route,Baseline,Local / other,41,28,33362,26959,914,32216,14735,5712,11769,2984,-78,119,520
route,Baseline,Local / other,45,28,100230,76770,1882,96767,44318,25936,26513,6939,-143,81,504
route,Baseline,Local / other,46L,19,7804,5946,501,6880,3638,1697,1545,325,-92,70,405
route,Baseline,Local / other,51A,28,160666,116215,3756,151488,62638,34973,53877,18239,-124,106,653
route,Baseline,Local / other,51B,28,129200,98386,4298,122485,54007,33523,34955,9816,-111,76,518
route,Baseline,Local / other,52,28,80539,59984,3155,75144,32398,18935,23811,4876,-146,98,462
route,Baseline,Local / other,54,28,71718,57203,2571,67040,32637,15104,19299,3976,-90,94,452
route,Baseline,Local / other,56,28,54498,38835,1171,52873,20100,19455,13318,2758,-190,49,426
route,Baseline,Local / other,57,28,276024,200308,3920,266657,104206,69163,93288,33202,-124,97,633
route,Baseline,Local / other,6,28,112041,81880,4375,105499,40116,16088,49295,15504,-97,164,659
route,Baseline,Local / other,60,28,51124,36921,1495,48257,20500,9617,18140,6258,-118,120,646
route,Baseline,Local / other,62,28,124416,99548,2597,119801,55698,26441,37662,8911,-100,98,494
route,Baseline,Local / other,65,19,26142,18081,707,24146,8052,5418,10676,2133,-246,154,506
route,Baseline,Local / other,67,19,11804,7809,538,10240,3335,2342,4563,767,-224,154,470
route,Baseline,Local / other,7,28,65424,48393,923,63451,27353,18677,17421,4706,-157,69,499
route,Baseline,Local / other,70,28,64748,50728,1222,63153,28607,15199,19347,4905,-130,95,495
route,Baseline,Local / other,71,28,69912,58377,1175,68202,33552,10816,23834,5543,-74,120,516
route,Baseline,Local / other,72,28,141749,90816,1849,136966,43867,25479,67620,34612,-95,176,991
route,Baseline,Local / other,72L,28,34762,23203,1333,32847,11013,5883,15951,6729,-101,171,827
route,Baseline,Local / other,72M,28,162990,109283,2016,158326,54027,30389,73910,34917,-100,158,981
route,Baseline,Local / other,73,28,54531,43094,2646,50486,24776,9507,16203,4321,-72,97,520
route,Baseline,Local / other,74,28,83822,59778,1704,79407,31609,15577,32221,11817,-119,131,700
route,Baseline,Local / other,76,28,144712,110184,1971,141119,56884,22342,61893,20853,-87,152,661
route,Baseline,Local / other,86,28,98723,82089,2098,95752,48755,24740,22257,3779,-106,68,390
route,Baseline,Local / other,88,28,160462,121805,2834,155179,64589,38654,51936,15368,-123,96,547
route,Baseline,Local / other,9,28,227789,164627,3583,220824,90219,57998,72607,24791,-146,93,620
route,Baseline,Local / other,90,28,51532,40014,2223,47203,22090,13403,11710,2408,-91,63,424
route,Baseline,Local / other,93,28,64887,48933,1227,62877,26825,14020,22032,7199,-126,102,599
route,Baseline,Local / other,95,28,26957,19701,1170,24153,11662,8544,3947,677,-133,37,341
route,Baseline,Local / other,96,28,77220,57120,1743,73738,30809,18397,24532,7111,-138,97,569
route,Baseline,Local / other,97,28,130402,99376,2630,126026,54014,30813,41199,11207,-131,99,527
route,Baseline,Local / other,98,28,85208,71745,2267,81900,42001,14213,25686,4417,-83,110,433
route,Baseline,School,604,19,1539,981,47,1446,574,462,410,174,-281,76,637
route,Baseline,School,605,12,1001,471,23,959,237,633,89,10,-518,-60,289
route,Baseline,School,606,12,364,259,23,322,177,124,21,1,-133,20,217
route,Baseline,School,607,18,1343,811,34,1211,351,37,823,389,23,303,934
route,Baseline,School,617,8,628,421,15,592,216,215,161,40,-229,87,475
route,Baseline,School,620,8,254,162,15,219,75,63,81,19,-141,127,506
route,Baseline,School,621,11,1142,681,64,1037,378,421,238,55,-334,40,465
route,Baseline,School,623,11,3099,1552,106,2845,777,1378,690,145,-529,11,422
route,Baseline,School,624,11,398,300,21,356,160,81,115,32,-79,111,502
route,Baseline,School,625,11,1386,977,64,1208,582,317,309,64,-168,80,430
route,Baseline,School,627,8,317,171,15,295,71,133,91,16,-430,37,447
route,Baseline,School,629,8,299,239,15,268,170,58,40,1,-137,84,305
route,Baseline,School,631,13,1575,1094,46,1424,760,410,254,55,-227,64,313
route,Baseline,School,633,8,296,198,12,270,100,101,69,16,-216,27,473
route,Baseline,School,638,8,273,106,14,240,54,140,46,29,-397,-30,938
route,Baseline,School,639,8,456,320,15,436,174,193,69,18,-238,21,349
route,Baseline,School,641,11,428,290,31,375,143,103,129,44,-120,87,485
route,Baseline,School,642,8,240,171,8,209,127,80,2,0,-517,23,131
route,Baseline,School,646,8,1744,1390,56,1614,761,531,322,50,-93,41,364
route,Baseline,School,648,8,822,662,30,779,340,157,282,48,-94,137,457
route,Baseline,School,649,8,1111,793,30,1023,440,349,234,39,-233,62,392
route,Baseline,School,650,8,998,824,15,958,322,200,436,56,-75,163,454
route,Baseline,School,651,8,216,133,15,178,60,24,94,37,-55,182,621
route,Baseline,School,652,8,495,310,15,469,107,11,351,156,29,335,669
route,Baseline,School,653,8,786,274,21,717,135,269,313,212,-325,112,1204
route,Baseline,School,654,8,1017,717,37,933,304,202,427,92,-141,163,552
route,Baseline,School,655,8,1278,889,30,1187,537,497,153,0,-162,33,264
route,Baseline,School,657,8,1787,1091,44,1671,493,635,543,142,-434,58,495
route,Baseline,School,658,8,1011,875,22,980,445,113,422,48,-90,158,413
route,Baseline,School,660,8,445,326,17,417,221,148,48,13,-159,37,258
route,Baseline,School,662,8,604,256,15,579,160,304,115,43,-397,-36,1079
route,Baseline,School,663,13,960,604,28,820,360,191,269,127,-146,110,1050
route,Baseline,School,667,18,2796,1781,71,2596,826,175,1595,763,-14,250,861
route,Baseline,School,669,18,2491,1337,53,2347,845,1224,278,100,-508,-7,372
route,Baseline,School,675,18,5683,3968,123,5330,1664,892,2774,824,-160,191,601
route,Baseline,School,677,8,315,105,14,243,85,125,33,18,-478,-34,820
route,Baseline,School,678,17,1600,1020,48,1525,545,649,331,76,-507,24,412
route,Baseline,School,680,9,731,426,17,698,195,272,231,55,-201,67,458
route,Baseline,School,681,18,629,323,33,508,180,92,236,144,-83,125,991
route,Baseline,School,682,9,1285,473,41,1142,249,589,304,132,-906,-19,720
route,Baseline,School,683,7,63,34,7,45,18,9,18,5,-326,90,458
route,Baseline,School,684,18,3306,2212,88,3144,1151,1113,880,290,-164,61,535
route,Baseline,School,687,13,757,511,33,578,302,128,148,14,-109,89,382
route,Baseline,School,688,18,2142,1521,34,2067,807,694,566,184,-177,62,546
route,Baseline,School,689,19,3466,2093,90,3205,1124,849,1232,587,-242,112,860
route,Baseline,School,696,8,605,301,15,496,192,276,28,0,-325,-25,190
route,Baseline,Transbay,E,19,1670,1097,146,1427,512,140,775,266,-47,202,746
route,Baseline,Transbay,F,28,68976,48169,2218,65279,25694,16974,22611,7794,-169,98,642
route,Baseline,Transbay,FS,19,1110,435,74,1006,276,622,108,23,-1058,-341,305
route,Baseline,Transbay,G,19,4285,1890,174,3999,1132,2363,504,243,-1672,-42,495
route,Baseline,Transbay,J,19,2774,1742,177,2525,960,1145,420,71,-338,12,335
route,Baseline,Transbay,L,19,3138,1598,144,2875,923,1240,712,279,-694,38,600
route,Baseline,Transbay,NL,28,51620,36161,2333,47905,17842,7829,22234,8075,-92,161,706
route,Baseline,Transbay,NX,19,3020,1546,151,2767,701,1050,1016,392,-441,83,702
route,Baseline,Transbay,NX3,19,2933,756,116,2591,413,1955,223,105,-1299,-278,338
route,Baseline,Transbay,O,28,40307,26266,1426,37104,12080,7183,17841,6401,-158,169,752
route,Baseline,Transbay,P,19,3150,1435,273,2520,779,1228,513,224,-502,4,599
route,Baseline,Transbay,V,19,3805,1419,166,3492,840,2230,422,189,-754,-89,460
route,Baseline,Transbay,W,19,6062,2860,158,5357,1378,2927,1052,340,-338,-18,506
route,Post-shift,All Nighter,800,9,15125,10314,214,14660,5776,5156,3728,1291,-243,53,570
route,Post-shift,All Nighter,801,9,8176,6424,98,8058,3583,1589,2886,961,-90,107,580
route,Post-shift,All Nighter,802,8,2640,1698,80,2466,467,7,1992,766,94,334,646
route,Post-shift,All Nighter,805,9,5512,4203,92,5326,2249,1180,1897,689,-89,106,1001
route,Post-shift,All Nighter,840,9,3550,2794,99,3367,1390,364,1613,452,-49,168,576
route,Post-shift,All Nighter,851,9,5345,4339,90,5058,2875,701,1482,374,-92,108,490
route,Post-shift,Early Bird,701,7,28,10,13,13,2,5,6,1,-85,154,712
route,Post-shift,Early Bird,702,7,14,0,7,7,0,6,1,1,-385,-247,1469
route,Post-shift,Early Bird,703,7,28,14,7,21,9,4,8,4,-85,170,1126
route,Post-shift,Local / other,12,9,62495,40852,838,59676,20329,11923,27424,12680,-124,156,766
route,Post-shift,Local / other,14,9,43170,29225,782,41306,14157,4677,22472,10001,-61,208,879
route,Post-shift,Local / other,18,9,85822,58715,1071,82400,30195,22131,30074,11150,-176,104,666
route,Post-shift,Local / other,19,9,10050,6894,246,9552,3953,2835,2764,954,-199,78,584
route,Post-shift,Local / other,1T,9,57018,39390,1668,53174,19321,9081,24772,9857,-86,160,771
route,Post-shift,Local / other,200,9,31255,23136,664,30043,12575,7483,9985,3205,-143,93,541
route,Post-shift,Local / other,210,9,25965,18480,589,24603,9428,6249,8926,2691,-153,109,599
route,Post-shift,Local / other,211,9,31444,21891,667,30035,12340,11456,6239,1713,-200,39,458
route,Post-shift,Local / other,216,9,11149,7563,245,10730,3468,1804,5458,2143,-123,186,778
route,Post-shift,Local / other,22,9,39296,27100,562,37792,14737,14233,8822,3028,-180,41,527
route,Post-shift,Local / other,231,9,17542,12849,357,17075,6566,4188,6321,2123,-124,110,601
route,Post-shift,Local / other,239,9,20760,14646,534,19883,7989,6566,5328,1508,-185,63,510
route,Post-shift,Local / other,251,9,5382,4336,234,5106,2709,1252,1145,187,-111,78,382
route,Post-shift,Local / other,27,9,34008,24516,653,32866,14655,12953,5258,1268,-201,28,369
route,Post-shift,Local / other,28,9,28810,20588,427,27543,11259,4647,11637,4319,-127,142,741
route,Post-shift,Local / other,281,9,8408,6107,251,8110,3351,2364,2395,690,-166,83,567
route,Post-shift,Local / other,30,9,24775,15962,568,23600,8540,8190,6870,2553,-196,64,620
route,Post-shift,Local / other,31,9,30293,20214,517,29029,11186,9267,8576,3509,-174,64,718
route,Post-shift,Local / other,34,9,22640,15881,387,22036,8081,4850,9105,3716,-118,127,796
route,Post-shift,Local / other,35,9,21877,15614,395,21221,7820,4016,9385,3403,-126,149,762
route,Post-shift,Local / other,36,9,38967,27433,642,37280,14911,12720,9649,3028,-186,51,531
route,Post-shift,Local / other,40,9,75143,54709,1445,72249,29726,17696,24827,8770,-127,99,636
route,Post-shift,Local / other,41,9,10840,8992,295,10422,5327,2094,3001,573,-90,97,434
route,Post-shift,Local / other,45,9,32866,23605,614,31355,13521,8897,8937,3457,-128,78,737
route,Post-shift,Local / other,46L,7,2911,1974,188,2579,1001,491,1087,325,-126,148,592
route,Post-shift,Local / other,51A,9,55242,38219,1298,52520,19774,11636,21110,8169,-133,127,712
route,Post-shift,Local / other,51B,9,40704,29723,1358,38345,16188,7656,14501,5386,-92,117,691
route,Post-shift,Local / other,52,9,26050,18934,1040,24041,9864,4372,9805,2844,-115,137,617
route,Post-shift,Local / other,54,9,20963,16402,750,19469,8873,3687,6909,1627,-86,105,516
route,Post-shift,Local / other,56,9,19065,13918,408,18379,7035,5079,6265,1674,-148,98,536
route,Post-shift,Local / other,57,9,93465,63955,1329,89489,32247,26860,30382,11649,-151,84,671
route,Post-shift,Local / other,6,9,35824,25831,1399,33625,12652,5877,15096,4841,-110,154,643
route,Post-shift,Local / other,60,9,15579,11110,473,14650,6099,4371,4180,1007,-178,78,483
route,Post-shift,Local / other,62,9,38410,29559,814,36858,14852,4311,17695,5732,-51,171,791
route,Post-shift,Local / other,65,7,9597,6377,261,8953,2670,2549,3734,660,-299,142,468
route,Post-shift,Local / other,67,7,4432,3258,202,3936,1126,618,2192,282,-162,204,462
route,Post-shift,Local / other,7,9,20868,15331,294,19891,8212,5364,6315,1772,-147,93,544
route,Post-shift,Local / other,70,9,21988,17839,415,21310,10802,4260,6248,1505,-118,96,483
route,Post-shift,Local / other,71,9,24217,19053,402,23202,10063,4823,8316,1633,-125,117,476
route,Post-shift,Local / other,72,9,46893,31291,612,45112,15788,11282,18042,8006,-138,114,836
route,Post-shift,Local / other,72L,9,11232,7671,430,10664,3920,2485,4259,1582,-140,123,712
route,Post-shift,Local / other,72M,9,52385,35353,644,49961,17711,13355,18895,7733,-144,103,751
route,Post-shift,Local / other,73,9,18513,13285,884,16555,7377,3539,5639,1836,-89,101,644
route,Post-shift,Local / other,74,9,28232,22315,574,26641,13854,7281,5506,1217,-118,62,399
route,Post-shift,Local / other,76,9,46570,37899,631,44688,21372,6873,16443,3964,-76,128,546
route,Post-shift,Local / other,86,9,30440,25277,646,29166,15630,6983,6553,1392,-89,68,408
route,Post-shift,Local / other,88,9,50345,38388,888,48044,21269,11272,15503,5151,-97,90,615
route,Post-shift,Local / other,9,9,70272,48619,1091,66759,26729,16981,23049,9086,-144,98,697
route,Post-shift,Local / other,90,9,16170,12472,698,14654,6848,3069,4737,1039,-83,106,481
route,Post-shift,Local / other,93,9,20336,14905,399,19633,8130,3594,7909,3130,-94,134,659
route,Post-shift,Local / other,95,9,8436,6853,364,7505,4237,1087,2181,304,-54,108,389
route,Post-shift,Local / other,96,9,24081,17999,547,23111,9912,6270,6929,1810,-150,86,499
route,Post-shift,Local / other,97,9,44913,34043,904,42898,18091,10966,13841,4073,-111,95,577
route,Post-shift,Local / other,98,9,26516,22049,706,25294,12231,2679,10384,2263,-46,147,531
route,Post-shift,School,604,2,128,80,4,105,41,28,36,10,-95,63,2197
route,Post-shift,School,605,2,174,118,4,131,64,17,50,12,-27,158,499
route,Post-shift,School,606,2,52,33,3,46,5,16,25,1,-94,190,331
route,Post-shift,School,607,1,79,64,2,74,13,0,61,10,52,273,735
route,Post-shift,School,617,7,544,450,13,514,209,71,234,56,-36,158,494
route,Post-shift,School,620,7,229,167,12,196,111,46,39,15,-87,60,529
route,Post-shift,School,621,6,624,339,35,581,123,40,418,223,-24,323,1007
route,Post-shift,School,623,6,1729,756,59,1569,371,804,394,137,-469,-10,518
route,Post-shift,School,624,5,180,135,10,170,67,17,86,28,-54,182,474
route,Post-shift,School,625,6,780,598,36,685,317,100,268,40,-73,134,494
route,Post-shift,School,627,7,243,193,12,220,84,29,107,12,-87,168,440
route,Post-shift,School,629,7,280,179,14,244,29,13,202,62,-7,296,688
route,Post-shift,School,631,6,822,607,24,769,302,172,295,52,-126,123,479
route,Post-shift,School,633,7,323,279,13,303,164,49,90,14,-52,69,416
route,Post-shift,School,638,7,234,151,12,205,67,35,103,31,-139,194,635
route,Post-shift,School,639,7,395,342,13,376,136,59,181,2,-116,174,350
route,Post-shift,School,641,6,226,188,17,205,111,25,69,14,-25,134,468
route,Post-shift,School,642,7,210,150,7,189,105,54,30,0,-317,89,310
route,Post-shift,School,646,7,1416,900,42,1319,487,510,322,154,-168,50,1015
route,Post-shift,School,648,7,686,430,25,650,201,141,308,149,-106,132,584
route,Post-shift,School,649,7,935,692,25,853,393,230,230,39,-189,85,410
route,Post-shift,School,650,7,865,567,13,834,115,28,691,260,55,309,671
route,Post-shift,School,651,7,174,95,12,142,53,24,65,38,-62,155,829
route,Post-shift,School,652,7,396,280,12,364,77,0,287,84,127,267,1058
route,Post-shift,School,653,7,903,447,25,842,236,482,124,36,-337,-27,362
route,Post-shift,School,654,7,879,533,32,797,240,42,515,251,-2,283,649
route,Post-shift,School,655,7,1108,885,26,1050,399,308,343,65,-73,99,457
route,Post-shift,School,657,7,1570,926,39,1500,454,341,705,346,-202,165,863
route,Post-shift,School,658,7,918,581,19,792,269,131,392,170,-61,174,811
route,Post-shift,School,660,7,370,313,14,342,185,88,69,0,-81,53,327
route,Post-shift,School,662,7,523,385,13,503,140,196,167,25,-341,59,418
route,Post-shift,School,663,6,447,331,13,397,159,26,212,48,-37,203,740
route,Post-shift,School,667,1,158,126,4,135,20,0,115,9,105,310,431
route,Post-shift,School,669,1,145,62,3,128,43,83,2,0,-529,-70,112
route,Post-shift,School,675,1,324,177,7,313,93,205,15,0,-256,-37,180
route,Post-shift,School,677,7,273,145,13,249,83,130,36,0,-494,-24,299
route,Post-shift,School,678,1,106,74,3,87,48,33,6,0,-222,29,192
route,Post-shift,School,680,7,559,264,13,525,92,1,432,261,76,420,1117
route,Post-shift,School,681,1,17,14,1,16,0,0,16,2,283,351,434
route,Post-shift,School,682,7,987,546,33,878,268,188,422,181,-336,166,827
route,Post-shift,School,683,6,54,28,6,43,20,1,22,14,15,199,1040
route,Post-shift,School,684,1,188,147,5,176,113,39,24,11,-84,77,565
route,Post-shift,School,687,6,390,316,18,324,177,20,127,3,-14,158,375
route,Post-shift,School,689,4,260,188,7,250,142,79,29,2,-608,46,230
route,Post-shift,School,696,7,525,383,13,502,167,61,274,101,-40,193,1100
route,Post-shift,Transbay,E,7,637,357,54,526,179,25,322,164,0,241,1453
route,Post-shift,Transbay,F,9,22232,14882,715,21064,7245,4950,8869,3435,-160,133,737
route,Post-shift,Transbay,FS,7,405,170,27,376,120,206,50,9,-1209,-108,338
route,Post-shift,Transbay,G,7,1640,769,67,1572,401,811,360,124,-1387,-8,520
route,Post-shift,Transbay,J,7,1119,745,69,1018,393,278,347,109,-241,81,582
route,Post-shift,Transbay,L,7,1204,682,56,1131,388,457,286,150,-464,45,710
route,Post-shift,Transbay,NL,9,18293,11947,825,16894,5423,2494,8977,3517,-117,202,716
route,Post-shift,Transbay,NX,7,1060,583,53,940,259,133,548,257,-180,221,1314
route,Post-shift,Transbay,NX3,7,1138,513,45,1029,215,533,281,83,-581,-15,547
route,Post-shift,Transbay,O,9,13368,6895,472,12295,3689,5676,2930,1167,-349,17,654
route,Post-shift,Transbay,P,7,1148,651,105,957,379,278,300,159,-332,53,830
route,Post-shift,Transbay,V,7,1550,707,67,1386,376,505,505,248,-578,74,868
route,Post-shift,Transbay,W,7,2185,1081,56,1882,631,857,394,136,-406,17,488
route,Summer,All Nighter,800,55,96188,71852,1343,93779,39670,25135,28974,9030,-152,84,586
route,Summer,All Nighter,801,55,48695,37026,580,47155,18647,6954,21554,6908,-79,160,663
route,Summer,All Nighter,802,54,17820,13536,539,16720,7589,1205,7926,3000,-10,166,671
route,Summer,All Nighter,805,55,33725,27836,562,32786,17538,8053,7195,1919,-100,72,451
