service_date,week_start,period,route_group,service_days,scheduled_trips,ran_trips,two_bus_gap_windows,possible_gap_windows,trip_delivery_pct,two_bus_gap_rate_pct
2026-05-17,2026-05-17,Baseline,All Nighter,1,82,70,,,85.36585365853658,
2026-05-17,2026-05-17,Baseline,Local / other,1,3733,3398,,,91.02598446289848,
2026-05-17,2026-05-17,Baseline,Transbay,1,186,153,,,82.25806451612904,
2026-05-18,2026-05-17,Baseline,All Nighter,1,82,75,,,91.46341463414635,
2026-05-18,2026-05-17,Baseline,Early Bird,1,4,4,,,100.0,
2026-05-18,2026-05-17,Baseline,Local / other,1,4545,4058,,,89.28492849284929,
2026-05-18,2026-05-17,Baseline,School,1,150,147,,,98.0,
2026-05-18,2026-05-17,Baseline,Transbay,1,369,305,,,82.65582655826559,
2026-05-19,2026-05-17,Baseline,All Nighter,1,82,0,,,0.0,
2026-05-19,2026-05-17,Baseline,Early Bird,1,4,0,,,0.0,
2026-05-19,2026-05-17,Baseline,Local / other,1,4545,3435,,,75.57755775577557,
2026-05-19,2026-05-17,Baseline,School,1,150,90,,,60.0,
2026-05-19,2026-05-17,Baseline,Transbay,1,369,254,,,68.83468834688347,
2026-05-20,2026-05-17,Baseline,All Nighter,1,82,1,,,1.2195121951219512,
2026-05-20,2026-05-17,Baseline,Early Bird,1,4,0,,,0.0,
2026-05-20,2026-05-17,Baseline,Local / other,1,4544,4004,,,88.11619718309859,
2026-05-20,2026-05-17,Baseline,School,1,151,151,,,100.0,
2026-05-20,2026-05-17,Baseline,Transbay,1,369,331,,,89.70189701897019,
2026-05-21,2026-05-17,Baseline,All Nighter,1,82,70,,,85.36585365853658,
2026-05-21,2026-05-17,Baseline,Early Bird,1,4,3,,,75.0,
2026-05-21,2026-05-17,Baseline,Local / other,1,4545,4247,,,93.44334433443345,
2026-05-21,2026-05-17,Baseline,School,1,150,146,,,97.33333333333333,
2026-05-21,2026-05-17,Baseline,Transbay,1,369,315,,,85.36585365853658,
2026-05-22,2026-05-17,Baseline,All Nighter,1,82,79,,,96.34146341463415,
2026-05-22,2026-05-17,Baseline,Early Bird,1,4,3,,,75.0,
2026-05-22,2026-05-17,Baseline,Local / other,1,4540,4139,,,91.16740088105728,
2026-05-22,2026-05-17,Baseline,School,1,119,117,,,98.31932773109244,
2026-05-22,2026-05-17,Baseline,Transbay,1,369,300,,,81.30081300813008,
2026-05-23,2026-05-17,Baseline,All Nighter,1,82,78,,,95.1219512195122,
2026-05-23,2026-05-17,Baseline,Local / other,1,3731,3468,,,92.95095148753686,
2026-05-23,2026-05-17,Baseline,Transbay,1,186,185,,,99.46236559139786,
2026-05-24,2026-05-24,Baseline,All Nighter,1,82,79,,,96.34146341463415,
2026-05-24,2026-05-24,Baseline,Local / other,1,3733,3308,,,88.61505491561746,
2026-05-24,2026-05-24,Baseline,Transbay,1,186,175,,,94.08602150537635,
2026-05-25,2026-05-24,Baseline,All Nighter,1,82,79,,,96.34146341463415,
2026-05-25,2026-05-24,Baseline,Local / other,1,3733,3686,,,98.7409590141977,
2026-05-25,2026-05-24,Baseline,Transbay,1,186,186,,,100.0,
2026-05-26,2026-05-24,Baseline,All Nighter,1,82,75,,,91.46341463414635,
2026-05-26,2026-05-24,Baseline,Early Bird,1,4,4,,,100.0,
2026-05-26,2026-05-24,Baseline,Local / other,1,4545,4344,,,95.57755775577557,
2026-05-26,2026-05-24,Baseline,School,1,150,144,,,96.0,
2026-05-26,2026-05-24,Baseline,Transbay,1,369,310,,,84.01084010840108,
2026-05-27,2026-05-24,Baseline,All Nighter,1,82,79,,,96.34146341463415,
2026-05-27,2026-05-24,Baseline,Early Bird,1,4,3,,,75.0,
2026-05-27,2026-05-24,Baseline,Local / other,1,4544,4218,,,92.82570422535211,
2026-05-27,2026-05-24,Baseline,School,1,151,149,,,98.67549668874172,
2026-05-27,2026-05-24,Baseline,Transbay,1,369,314,,,85.09485094850949,
2026-05-28,2026-05-24,Baseline,All Nighter,1,82,79,,,96.34146341463415,
2026-05-28,2026-05-24,Baseline,Early Bird,1,4,3,,,75.0,
2026-05-28,2026-05-24,Baseline,Local / other,1,4545,4216,,,92.76127612761276,
2026-05-28,2026-05-24,Baseline,School,1,149,147,,,98.65771812080537,
2026-05-28,2026-05-24,Baseline,Transbay,1,369,332,,,89.97289972899729,
2026-05-29,2026-05-24,Baseline,All Nighter,1,82,79,,,96.34146341463415,
2026-05-29,2026-05-24,Baseline,Early Bird,1,4,3,,,75.0,
2026-05-29,2026-05-24,Baseline,Local / other,1,4543,4179,,,91.98767334360555,
2026-05-29,2026-05-24,Baseline,School,1,84,82,,,97.61904761904762,
2026-05-29,2026-05-24,Baseline,Transbay,1,369,312,,,84.55284552845528,
2026-05-30,2026-05-24,Baseline,All Nighter,1,82,57,,,69.51219512195122,
2026-05-30,2026-05-24,Baseline,Local / other,1,3731,3363,,,90.13669257571696,
2026-05-30,2026-05-24,Baseline,Transbay,1,186,176,,,94.6236559139785,
2026-05-31,2026-05-31,Baseline,All Nighter,1,82,79,,,96.34146341463415,
2026-05-31,2026-05-31,Baseline,Local / other,1,3733,3435,,,92.01714438789178,
2026-05-31,2026-05-31,Baseline,Transbay,1,186,171,,,91.93548387096774,
2026-06-01,2026-05-31,Baseline,All Nighter,1,82,79,,,96.34146341463415,
2026-06-01,2026-05-31,Baseline,Early Bird,1,4,2,,,50.0,
2026-06-01,2026-05-31,Baseline,Local / other,1,4544,4263,,,93.81602112676056,
