period,route_group,service_days,scheduled_trips,ran_trips,two_bus_gap_windows,possible_gap_windows,trip_delivery_pct,two_bus_gap_rate_pct
Baseline,All Nighter,28,2293,1979,,,86.30614914958569,
Baseline,Early Bird,19,76,57,,,75.0,
Baseline,Local / other,28,119886,108867,,,90.80876832991342,
Baseline,School,19,1708,1610,,,94.26229508196721,
Baseline,Transbay,28,8685,7555,,,86.98906160046056,
Post-shift,All Nighter,9,730,673,14.0,526.0,92.1917808219178,2.661596958174905
Post-shift,Early Bird,7,28,27,0.0,5.0,96.42857142857143,0.0
Post-shift,Local / other,9,39208,35199,451.0,29772.0,89.77504590899817,1.5148461641811097
Post-shift,School,7,781,726,0.0,409.0,92.95774647887323,0.0
Post-shift,Transbay,9,2955,2610,77.0,2141.0,88.3248730964467,3.596450256889304
Summer,All Nighter,55,4507,4187,38.0,2125.0,92.89993343687597,1.7882352941176471
Summer,Early Bird,38,152,142,1.0,20.0,93.42105263157895,5.0
Summer,Local / other,55,235731,212498,2835.0,119044.0,90.14427461810284,2.3814723967608615
Summer,School,2,12,12,0.0,6.0,100.0,0.0
Summer,Transbay,55,16994,15012,324.0,8464.0,88.33706013887254,3.827977315689981
