period,route_group,route_id,service_days,scheduled_trips,ran_trips,two_bus_gap_windows,possible_gap_windows,trip_delivery_pct,two_bus_gap_rate_pct
Baseline,All Nighter,800,28,754,629,,,83.42175066312997,
Baseline,All Nighter,801,28,308,279,,,90.58441558441558,
Baseline,All Nighter,802,28,280,249,,,88.92857142857143,
Baseline,All Nighter,805,28,335,273,,,81.49253731343283,
Baseline,All Nighter,840,28,336,298,,,88.69047619047619,
Baseline,All Nighter,851,28,280,251,,,89.64285714285714,
Baseline,Early Bird,701,19,38,27,,,71.05263157894737,
Baseline,Early Bird,702,19,19,13,,,68.42105263157895,
Baseline,Early Bird,703,19,19,17,,,89.47368421052632,
Baseline,Local / other,12,28,2642,2498,,,94.54958364875094,
Baseline,Local / other,14,28,2952,2520,,,85.36585365853658,
Baseline,Local / other,18,28,3699,3548,,,95.91781562584482,
Baseline,Local / other,19,28,896,850,,,94.86607142857143,
Baseline,Local / other,1T,28,6179,4858,,,78.62113610616605,
Baseline,Local / other,200,28,2128,2030,,,95.39473684210526,
Baseline,Local / other,210,28,1887,1792,,,94.9655537890832,
Baseline,Local / other,211,28,2148,2039,,,94.92551210428306,
Baseline,Local / other,216,28,784,766,,,97.70408163265306,
Baseline,Local / other,22,28,1848,1800,,,97.40259740259741,
Baseline,Local / other,231,28,1157,1094,,,94.55488331892826,
Baseline,Local / other,239,28,1655,1598,,,96.5558912386707,
Baseline,Local / other,251,28,765,745,,,97.38562091503267,
Baseline,Local / other,27,28,2076,1981,,,95.42389210019267,
Baseline,Local / other,28,28,1419,1337,,,94.22128259337562,
Baseline,Local / other,281,28,804,777,,,96.64179104477611,
Baseline,Local / other,30,28,2259,1847,,,81.7618415227977,
Baseline,Local / other,31,28,1844,1632,,,88.50325379609545,
Baseline,Local / other,34,28,1256,1178,,,93.78980891719745,
Baseline,Local / other,35,28,1294,1207,,,93.27666151468316,
Baseline,Local / other,36,28,2148,2053,,,95.57728119180634,
Baseline,Local / other,40,28,4940,4308,,,87.20647773279352,
Baseline,Local / other,41,28,952,914,,,96.00840336134453,
Baseline,Local / other,45,28,2133,1882,,,88.23253633380216,
Baseline,Local / other,46L,19,513,501,,,97.6608187134503,
Baseline,Local / other,51A,28,4486,3756,,,83.72715113687026,
Baseline,Local / other,51B,28,4547,4298,,,94.52386188695843,
Baseline,Local / other,52,28,3279,3155,,,96.2183592558707,
Baseline,Local / other,54,28,2775,2571,,,92.64864864864865,
Baseline,Local / other,56,28,1256,1171,,,93.23248407643312,
Baseline,Local / other,57,28,4226,3918,,,92.7117841930904,
Baseline,Local / other,6,28,4646,4375,,,94.167025398192,
Baseline,Local / other,60,28,1685,1495,,,88.72403560830861,
Baseline,Local / other,62,28,3005,2597,,,86.42262895174709,
Baseline,Local / other,65,19,760,707,,,93.02631578947368,
Baseline,Local / other,67,19,551,538,,,97.64065335753176,
Baseline,Local / other,7,28,952,923,,,96.95378151260505,
Baseline,Local / other,70,28,1297,1222,,,94.21742482652274,
Baseline,Local / other,71,28,1278,1175,,,91.94053208137716,
Baseline,Local / other,72,28,2175,1849,,,85.01149425287356,
Baseline,Local / other,72L,28,1512,1333,,,88.16137566137566,
Baseline,Local / other,72M,28,2314,1934,,,83.57821953327571,
Baseline,Local / other,73,28,3075,2646,,,86.04878048780488,
Baseline,Local / other,74,28,1835,1704,,,92.86103542234332,
Baseline,Local / other,76,28,2202,1971,,,89.50953678474114,
Baseline,Local / other,86,28,2165,2098,,,96.905311778291,
Baseline,Local / other,88,28,2990,2834,,,94.78260869565217,
Baseline,Local / other,9,28,3998,3582,,,89.59479739869936,
Baseline,Local / other,90,28,2579,2223,,,86.19620007754943,
Baseline,Local / other,93,28,1327,1227,,,92.46420497362472,
Baseline,Local / other,95,28,1204,1170,,,97.17607973421927,
Baseline,Local / other,96,28,1867,1743,,,93.35832886984467,
Baseline,Local / other,97,28,2952,2630,,,89.09214092140921,
Baseline,Local / other,98,28,2570,2267,,,88.21011673151752,
Baseline,School,604,19,49,47,,,95.91836734693878,
Baseline,School,605,12,24,23,,,95.83333333333333,
Baseline,School,606,12,24,23,,,95.83333333333333,
Baseline,School,607,18,36,34,,,94.44444444444444,
Baseline,School,617,8,16,15,,,93.75,
Baseline,School,620,8,16,15,,,93.75,
Baseline,School,621,11,66,64,,,96.96969696969697,
Baseline,School,623,11,110,106,,,96.36363636363636,
Baseline,School,624,11,22,21,,,95.45454545454545,
Baseline,School,625,11,66,64,,,96.96969696969697,
Baseline,School,627,8,16,15,,,93.75,
Baseline,School,629,8,16,15,,,93.75,
Baseline,School,631,13,52,46,,,88.46153846153847,
Baseline,School,633,8,14,12,,,85.71428571428571,
Baseline,School,638,8,16,14,,,87.5,
Baseline,School,639,8,16,15,,,93.75,
Baseline,School,641,11,33,31,,,93.93939393939394,
Baseline,School,642,8,8,8,,,100.0,
Baseline,School,646,8,62,56,,,90.3225806451613,
Baseline,School,648,8,32,30,,,93.75,
Baseline,School,649,8,32,30,,,93.75,
Baseline,School,650,8,16,15,,,93.75,
Baseline,School,651,8,16,15,,,93.75,
Baseline,School,652,8,16,15,,,93.75,
Baseline,School,653,8,24,21,,,87.5,
Baseline,School,654,8,40,37,,,92.5,
Baseline,School,655,8,32,30,,,93.75,
Baseline,School,657,8,48,44,,,91.66666666666667,
Baseline,School,658,8,24,22,,,91.66666666666667,
Baseline,School,660,8,18,17,,,94.44444444444444,
Baseline,School,662,8,16,15,,,93.75,
Baseline,School,663,13,29,28,,,96.55172413793103,
Baseline,School,667,18,72,71,,,98.61111111111111,
Baseline,School,669,18,54,53,,,98.14814814814815,
Baseline,School,675,18,126,123,,,97.61904761904762,
Baseline,School,677,8,16,14,,,87.5,
Baseline,School,678,18,54,48,,,88.88888888888889,
Baseline,School,680,9,18,17,,,94.44444444444444,
Baseline,School,681,18,36,33,,,91.66666666666667,
Baseline,School,682,9,45,41,,,91.11111111111111,
Baseline,School,683,9,9,7,,,77.77777777777777,
Baseline,School,684,18,90,88,,,97.77777777777777,
Baseline,School,687,13,39,33,,,84.61538461538461,
Baseline,School,688,18,36,34,,,94.44444444444444,
Baseline,School,689,19,92,90,,,97.82608695652173,
Baseline,School,696,8,16,15,,,93.75,
Baseline,Transbay,E,19,152,146,,,96.05263157894737,
Baseline,Transbay,F,28,2308,2218,,,96.10051993067592,
Baseline,Transbay,FS,19,76,74,,,97.36842105263158,
Baseline,Transbay,G,19,190,174,,,91.57894736842105,
Baseline,Transbay,J,19,190,177,,,93.15789473684211,
Baseline,Transbay,L,19,152,144,,,94.73684210526316,
Baseline,Transbay,NL,28,2822,2332,,,82.63642806520198,
Baseline,Transbay,NX,19,171,151,,,88.30409356725146,
Baseline,Transbay,NX3,19,133,116,,,87.21804511278195,
Baseline,Transbay,O,28,1617,1426,,,88.18800247371676,
Baseline,Transbay,P,19,304,273,,,89.80263157894737,
Baseline,Transbay,U,19,209,0,,,0.0,
Baseline,Transbay,V,19,190,166,,,87.36842105263158,
Baseline,Transbay,W,19,171,158,,,92.39766081871345,
Post-shift,All Nighter,800,9,235,214,7.0,176.0,91.06382978723404,3.977272727272727
Post-shift,All Nighter,801,9,99,98,0.0,70.0,98.98989898989899,0.0
Post-shift,All Nighter,802,9,90,80,0.0,63.0,88.88888888888889,0.0
Post-shift,All Nighter,805,9,108,92,3.0,77.0,85.18518518518519,3.896103896103896
Post-shift,All Nighter,840,9,108,99,4.0,77.0,91.66666666666667,5.194805194805195
Post-shift,All Nighter,851,9,90,90,0.0,63.0,100.0,0.0
Post-shift,Early Bird,701,7,14,13,0.0,5.0,92.85714285714286,0.0
Post-shift,Early Bird,702,7,7,7,0.0,0.0,100.0,
Post-shift,Early Bird,703,7,7,7,0.0,0.0,100.0,
Post-shift,Local / other,12,9,876,837,1.0,661.0,95.54794520547945,0.15128593040847202
Post-shift,Local / other,14,9,956,782,21.0,733.0,81.79916317991632,2.8649386084583903
Post-shift,Local / other,18,9,1222,1070,26.0,927.0,87.56137479541735,2.8047464940668823
Post-shift,Local / other,19,9,288,246,1.0,217.0,85.41666666666667,0.4608294930875576
Post-shift,Local / other,1T,9,1987,1603,100.0,1538.0,80.67438349270256,6.501950585175552
Post-shift,Local / other,200,9,684,663,1.0,525.0,96.9298245614035,0.19047619047619047
Post-shift,Local / other,210,9,611,589,3.0,466.0,96.39934533551555,0.6437768240343348
Post-shift,Local / other,211,9,694,667,1.0,531.0,96.10951008645533,0.18832391713747645
Post-shift,Local / other,216,9,252,245,0.0,189.0,97.22222222222223,0.0
Post-shift,Local / other,22,9,594,562,2.0,455.0,94.61279461279462,0.43956043956043955
Post-shift,Local / other,231,9,371,357,2.0,282.0,96.22641509433963,0.7092198581560284
Post-shift,Local / other,239,9,565,534,11.0,416.0,94.51327433628319,2.644230769230769
Post-shift,Local / other,251,9,245,234,0.0,184.0,95.51020408163265,0.0
Post-shift,Local / other,27,9,678,653,0.0,515.0,96.3126843657817,0.0
Post-shift,Local / other,28,9,457,427,3.0,348.0,93.43544857768053,0.8620689655172413
Post-shift,Local / other,281,9,262,251,0.0,195.0,95.80152671755725,0.0
Post-shift,Local / other,30,9,727,567,45.0,558.0,77.99174690508941,8.064516129032258
Post-shift,Local / other,31,9,592,517,6.0,453.0,87.33108108108108,1.3245033112582782
Post-shift,Local / other,34,9,418,387,0.0,311.0,92.58373205741627,0.0
Post-shift,Local / other,35,9,432,395,0.0,321.0,91.43518518518519,0.0
Post-shift,Local / other,36,9,694,642,2.0,531.0,92.507204610951,0.3766478342749529
Post-shift,Local / other,40,9,1645,1445,15.0,1244.0,87.8419452887538,1.2057877813504823
Post-shift,Local / other,41,9,306,295,0.0,231.0,96.40522875816994,0.0
Post-shift,Local / other,45,9,699,614,9.0,530.0,87.83977110157367,1.6981132075471699
Post-shift,Local / other,46L,7,189,188,0.0,130.0,99.47089947089947,0.0
Post-shift,Local / other,51A,9,1480,1298,35.0,1125.0,87.70270270270271,3.111111111111111
Post-shift,Local / other,51B,9,1491,1358,2.0,1138.0,91.07981220657277,0.1757469244288225
Post-shift,Local / other,52,9,1087,1040,2.0,822.0,95.67617295308187,0.24330900243309003
Post-shift,Local / other,54,9,911,750,15.0,686.0,82.3271130625686,2.186588921282799
Post-shift,Local / other,56,9,418,408,0.0,311.0,97.60765550239235,0.0
Post-shift,Local / other,57,9,1361,1325,0.0,1052.0,97.35488611315209,0.0
Post-shift,Local / other,6,9,1513,1399,7.0,1160.0,92.46530072703239,0.603448275862069
Post-shift,Local / other,60,9,555,472,10.0,418.0,85.04504504504504,2.3923444976076556
Post-shift,Local / other,62,9,976,814,4.0,747.0,83.40163934426229,0.535475234270415
Post-shift,Local / other,65,7,280,261,2.0,195.0,93.21428571428571,1.0256410256410255
Post-shift,Local / other,67,7,203,202,0.0,140.0,99.50738916256158,0.0
Post-shift,Local / other,7,9,306,294,0.0,231.0,96.07843137254902,0.0
Post-shift,Local / other,70,9,441,415,4.0,324.0,94.10430839002268,1.2345679012345678
Post-shift,Local / other,71,9,434,402,6.0,319.0,92.62672811059907,1.8808777429467085
Post-shift,Local / other,72,9,700,612,23.0,537.0,87.42857142857143,4.283054003724395
Post-shift,Local / other,72L,9,479,430,8.0,366.0,89.77035490605428,2.185792349726776
Post-shift,Local / other,72M,9,739,617,25.0,568.0,83.49120433017592,4.401408450704225
Post-shift,Local / other,73,9,989,884,4.0,762.0,89.38321536905966,0.5249343832020997
Post-shift,Local / other,74,9,605,574,0.0,456.0,94.87603305785125,0.0
Post-shift,Local / other,76,9,697,631,8.0,534.0,90.53084648493544,1.4981273408239701
Post-shift,Local / other,86,9,695,646,2.0,534.0,92.94964028776978,0.37453183520599254
Post-shift,Local / other,88,9,970,888,3.0,743.0,91.54639175257732,0.4037685060565276
Post-shift,Local / other,9,9,1294,1091,12.0,995.0,84.31221020092735,1.2060301507537687
Post-shift,Local / other,90,9,862,698,14.0,647.0,80.97447795823666,2.1638330757341575
Post-shift,Local / other,93,9,444,399,0.0,333.0,89.86486486486487,0.0
Post-shift,Local / other,95,9,382,364,0.0,291.0,95.28795811518324,0.0
Post-shift,Local / other,96,9,601,547,0.0,460.0,91.01497504159734,0.0
Post-shift,Local / other,97,9,991,904,2.0,742.0,91.2209889001009,0.2695417789757412
Post-shift,Local / other,98,9,860,706,14.0,645.0,82.09302325581395,2.1705426356589146
Post-shift,School,604,2,4,4,0.0,2.0,100.0,0.0
Post-shift,School,605,2,4,4,0.0,2.0,100.0,0.0
Post-shift,School,606,2,4,3,0.0,2.0,75.0,0.0
Post-shift,School,607,1,2,2,0.0,1.0,100.0,0.0
Post-shift,School,617,7,14,13,0.0,5.0,92.85714285714286,0.0
Post-shift,School,620,7,14,12,0.0,5.0,85.71428571428571,0.0
Post-shift,School,621,6,36,35,0.0,25.0,97.22222222222223,0.0
