week_start,period,route_group,service_days,scheduled_trips,ran_trips,two_bus_gap_windows,possible_gap_windows,trip_delivery_pct,two_bus_gap_rate_pct
2026-05-17,Baseline,All Nighter,7,574,373,,,64.98257839721255,
2026-05-17,Baseline,Early Bird,5,20,10,,,50.0,
2026-05-17,Baseline,Local / other,7,30183,26749,,,88.62273465195639,
2026-05-17,Baseline,School,5,720,651,,,90.41666666666667,
2026-05-17,Baseline,Transbay,7,2217,1843,,,83.13035633739287,
2026-05-24,Baseline,All Nighter,7,574,527,,,91.81184668989548,
2026-05-24,Baseline,Early Bird,4,16,13,,,81.25,
2026-05-24,Baseline,Local / other,7,29374,27314,,,92.98699530196772,
2026-05-24,Baseline,School,4,534,522,,,97.75280898876404,
2026-05-24,Baseline,Transbay,7,2034,1805,,,88.74139626352016,
2026-05-31,Baseline,All Nighter,7,574,549,,,95.64459930313589,
2026-05-31,Baseline,Early Bird,5,20,18,,,90.0,
2026-05-31,Baseline,Local / other,7,30176,27786,,,92.07979851537645,
2026-05-31,Baseline,School,5,281,269,,,95.72953736654804,
2026-05-31,Baseline,Transbay,7,2217,1955,,,88.18222823635544,
2026-06-07,Baseline,All Nighter,7,571,530,,,92.81961471103328,
2026-06-07,Baseline,Early Bird,5,20,16,,,80.0,
2026-06-07,Baseline,Local / other,7,30153,27018,,,89.60302457466919,
2026-06-07,Baseline,School,5,173,168,,,97.10982658959537,
2026-06-07,Baseline,Transbay,7,2217,1952,,,88.0469102390618,
2026-06-14,Summer,All Nighter,6,492,467,,,94.91869918699187,
2026-06-14,Summer,Early Bird,4,16,14,,,87.5,
2026-06-14,Summer,Local / other,6,25600,24402,,,95.3203125,
2026-06-14,Summer,Transbay,6,1828,1686,,,92.23194748358863,
2026-06-21,Summer,All Nighter,7,574,527,,,91.81184668989548,
2026-06-21,Summer,Early Bird,5,20,17,,,85.0,
2026-06-21,Summer,Local / other,7,30133,27348,,,90.75764112434872,
2026-06-21,Summer,Transbay,7,2192,1938,,,88.41240875912409,
2026-06-28,Summer,All Nighter,7,574,542,,,94.42508710801394,
2026-06-28,Summer,Early Bird,4,16,14,,,87.5,
2026-06-28,Summer,Local / other,7,29333,27806,,,94.79425902567074,
2026-06-28,Summer,Transbay,7,2014,1855,,,92.10526315789474,
2026-07-05,Summer,All Nighter,7,574,533,,,92.85714285714286,
2026-07-05,Summer,Early Bird,5,20,20,,,100.0,
2026-07-05,Summer,Local / other,7,30133,26428,,,87.70451000564165,
2026-07-05,Summer,Transbay,7,2192,1880,,,85.76642335766424,
2026-07-12,Summer,All Nighter,7,574,533,9.0,532.0,92.85714285714286,1.6917293233082706
2026-07-12,Summer,Early Bird,5,20,18,1.0,5.0,90.0,20.0
2026-07-12,Summer,Local / other,7,30133,27043,512.0,29761.0,89.7454617860817,1.7203722993178994
2026-07-12,Summer,Transbay,7,2192,1926,68.0,2116.0,87.86496350364963,3.213610586011342
2026-07-19,Summer,All Nighter,7,574,531,9.0,532.0,92.50871080139373,1.6917293233082706
2026-07-19,Summer,Early Bird,5,20,20,0.0,5.0,100.0,0.0
2026-07-19,Summer,Local / other,7,30133,26480,788.0,29761.0,87.87707828626422,2.6477604919189544
2026-07-19,Summer,Transbay,7,2192,1890,93.0,2116.0,86.22262773722628,4.395085066162571
2026-07-26,Summer,All Nighter,7,574,525,14.0,532.0,91.46341463414635,2.6315789473684212
2026-07-26,Summer,Early Bird,5,20,20,0.0,5.0,100.0,0.0
2026-07-26,Summer,Local / other,7,30133,27390,481.0,29761.0,90.89702319715926,1.6162091327576358
2026-07-26,Summer,Transbay,7,2192,1987,60.0,2116.0,90.64781021897811,2.835538752362949
2026-08-02,Summer,All Nighter,7,571,529,6.0,529.0,92.6444833625219,1.1342155009451795
2026-08-02,Summer,Early Bird,5,20,19,0.0,5.0,95.0,0.0
2026-08-02,Summer,Local / other,7,30133,25601,1054.0,29761.0,84.9600106195865,3.5415476630489566
2026-08-02,Summer,School,2,12,12,0.0,6.0,100.0,0.0
2026-08-02,Summer,Transbay,7,2192,1850,103.0,2116.0,84.39781021897811,4.8676748582230625
2026-08-09,Post-shift,All Nighter,6,486,455,4.0,300.0,93.62139917695474,1.3333333333333333
2026-08-09,Post-shift,Early Bird,5,20,19,0.0,3.0,95.0,0.0
2026-08-09,Post-shift,Local / other,6,26396,23933,184.0,17119.0,90.66904076375208,1.0748291372159589
2026-08-09,Post-shift,School,5,518,472,0.0,229.0,91.11969111969113,0.0
2026-08-09,Post-shift,Transbay,6,2031,1815,36.0,1248.0,89.36484490398819,2.8846153846153846
2026-08-16,Post-shift,All Nighter,3,244,218,10.0,226.0,89.34426229508196,4.424778761061947
2026-08-16,Post-shift,Early Bird,2,8,8,0.0,2.0,100.0,0.0
2026-08-16,Post-shift,Local / other,3,12812,11266,267.0,12653.0,87.9331876365907,2.1101715008298427
2026-08-16,Post-shift,School,2,263,254,0.0,180.0,96.57794676806084,0.0
2026-08-16,Post-shift,Transbay,3,924,795,41.0,893.0,86.03896103896103,4.591265397536394
