week_start,route_group,service_days,scheduled_stop_rows,delivered_stop_rows,observed_trips,arrivals,on_time_arrivals,early_arrivals,late_arrivals,very_late_arrivals,p50_delay_seconds,p95_delay_seconds
2026-05-17,All Nighter,6,22290,17797,373,21498,9729,3926,7843,1825,121,583
2026-05-17,Early Bird,3,26,8,10,16,3,11,2,0,-143,218
2026-05-17,Local / other,7,1286355,942759,26786,1235451,497236,279184,459031,157663,113,656
2026-05-17,School,5,20835,13836,651,19370,7276,5990,6104,1778,82,587
2026-05-17,Transbay,7,47179,28745,1843,43104,13569,9677,19858,8450,155,867
2026-05-24,All Nighter,7,31784,25230,527,30801,14266,5937,10598,2714,113,551
2026-05-24,Early Bird,4,36,9,13,20,4,11,5,3,-21,566
2026-05-24,Local / other,7,1321978,984220,27395,1271698,531649,315805,424244,132757,96,589
2026-05-24,School,4,16953,10555,522,15633,5661,5392,4580,1570,66,596
2026-05-24,Transbay,7,46219,31376,1805,43327,16700,12239,14388,4204,93,559
2026-05-31,All Nighter,7,32819,25719,549,31830,14729,6572,10529,3129,106,558
2026-05-31,Early Bird,5,46,13,18,28,8,16,4,2,-18,766
2026-05-31,Local / other,7,1336299,984707,27862,1284455,524386,302711,457358,148073,106,620
2026-05-31,School,5,9611,6050,269,8630,3143,2376,3111,1080,99,592
2026-05-31,Transbay,7,49893,33048,1956,46132,17010,12241,16881,5545,106,608
2026-06-07,All Nighter,7,31733,24376,530,30611,12875,5103,12633,3870,142,625
2026-06-07,Early Bird,5,46,13,16,26,6,18,2,0,-87,232
2026-06-07,Local / other,7,1303243,968314,27083,1254085,522880,303904,427301,132566,101,591
2026-06-07,School,5,6782,4012,168,6328,1914,1909,2505,935,113,607
2026-06-07,Transbay,7,49559,32205,1952,46284,16251,12729,17304,6203,107,653
2026-06-14,All Nighter,6,28030,21785,467,26975,12084,5203,9688,2904,116,618
2026-06-14,Early Bird,4,40,10,14,21,5,14,2,0,-84,229
2026-06-14,Local / other,6,1178927,866910,24478,1134329,464847,262789,406693,137031,107,640
2026-06-14,Transbay,6,42915,27685,1686,39599,13839,8352,17408,7090,148,861
2026-06-21,All Nighter,7,31720,25268,527,30908,14031,5669,11208,2982,115,547
2026-06-21,Early Bird,5,48,14,17,27,9,13,5,1,42,359
2026-06-21,Local / other,7,1315251,979985,27413,1264516,530704,307451,426361,131284,99,582
2026-06-21,Transbay,7,49078,32938,1939,45823,16838,10631,18354,6718,125,699
2026-06-28,All Nighter,7,32263,24840,542,31385,13473,6271,11641,3668,119,596
2026-06-28,Early Bird,4,38,7,14,20,2,9,9,5,33,646
2026-06-28,Local / other,7,1342304,994439,27881,1293036,535380,310736,446920,143520,101,603
2026-06-28,Transbay,7,47374,32476,1855,44403,16617,11609,16177,5042,107,594
2026-07-05,All Nighter,7,32095,24935,533,31100,13899,6238,10963,3323,109,613
2026-07-05,Early Bird,5,50,11,20,30,5,12,13,8,154,1227
2026-07-05,Local / other,7,1268138,942528,26490,1219001,510570,299806,408625,126893,97,591
2026-07-05,Transbay,7,47667,32382,1880,44626,16969,12605,15052,4485,95,560
2026-07-12,All Nighter,7,31965,24543,533,30867,13900,6664,10303,3256,101,607
2026-07-12,Early Bird,5,46,16,18,28,4,13,11,4,97,753
2026-07-12,Local / other,7,1290743,957867,27043,1241886,518615,304881,418390,129383,99,586
2026-07-12,Transbay,7,48598,33024,1926,45486,17083,12965,15438,4669,95,567
2026-07-19,All Nighter,7,31673,24275,531,30511,14376,5987,10148,3452,104,631
2026-07-19,Early Bird,5,50,10,20,28,3,10,15,8,228,2147
2026-07-19,Local / other,7,1270414,933158,26480,1218808,502347,304136,412325,131823,98,596
2026-07-19,Transbay,7,47702,31885,1890,44461,16523,11009,16929,5981,114,661
2026-07-26,All Nighter,7,31402,23905,525,30438,13049,5631,11758,3833,125,644
2026-07-26,Early Bird,5,50,16,20,30,9,18,3,0,-21,245
2026-07-26,Local / other,7,1315523,972979,27390,1264316,524147,309513,430656,133443,100,589
2026-07-26,Transbay,7,50161,33124,1987,46781,16865,12615,17301,5504,109,612
2026-08-02,All Nighter,7,31765,22913,529,30665,12586,6773,11306,4392,110,783
2026-08-02,Early Bird,5,50,18,19,29,6,12,11,2,35,487
2026-08-02,Local / other,7,1223260,890679,25601,1171240,473424,261778,436038,148927,114,667
2026-08-02,School,2,234,165,12,214,83,64,67,3,110,391
2026-08-02,Transbay,7,46628,28647,1850,42926,14264,10371,18291,7737,136,851
2026-08-09,All Nighter,6,27200,19945,455,26257,10862,5814,9581,3348,108,646
2026-08-09,Early Bird,5,50,15,19,29,7,11,11,5,165,1186
2026-08-09,Local / other,6,1152710,827335,24006,1094907,442458,266615,385834,132479,103,645
2026-08-09,School,5,14399,9479,472,13235,4491,3094,5650,1926,138,643
2026-08-09,Transbay,6,45660,27670,1815,42208,13807,11535,16866,6760,118,714
2026-08-16,All Nighter,3,13148,9827,218,12678,5478,3183,4017,1185,97,530
2026-08-16,Early Bird,2,20,9,8,12,4,4,4,1,100,427
2026-08-16,Local / other,3,541914,391265,11294,520111,208243,124627,187241,65739,106,655
2026-08-16,School,2,8029,5185,254,7358,2502,1868,2988,1042,131,686
2026-08-16,Transbay,3,20319,12312,796,18862,5891,5668,7303,2798,105,729
